row_type,candidate_id,cert_id,cert_name,aliases,issuer,primary_domain,related_domains,related_jobs,related_majors,recommended_risk_stages,roadmap_stages,cert_grade_tier,text_for_dense,text_for_sparse,valid_from,valid_to,source_ids,quality_flags,updated_at,content_hash
certificate_candidate,cand_cert_0001,cert_0001,용접기술사,[],Q-Net,domain_0006,"[""domain_0006""]","[""job_0034"", ""job_0035"", ""job_0036"", ""job_0037"", ""job_0038"", ""job_0039""]","[""조선기계과"", ""제어계측공학"", ""산업공학"", ""기전공학""]","[""risk_0001"", ""risk_0002""]","[""roadmap_stage_0005""]",4_기술사,"용접기술사 (Q-Net). 등급: 4_기술사. 자격 유형: 국가기술자격. 관련 직무: 기계설계, 기계정비, 생산관리, 생산기술, 공정관리, 품질관리. 관련 학과: 조선기계과, 제어계측공학, 산업공학, 기전공학. 시험 난이도: 5.0. 시험 과목: 필기 + 실기 + 면접. 연간 검정 횟수: 연 2회. 3년 평균 합격률: 27.42%.",용접기술사 기계설계 기계정비 생산관리 생산기술 공정관리 품질관리 조선기계과 제어계측공학 산업공학 기전공학,,,"[""qnet_major_list_2025""]",{},2026-04-19T02:03:01,dd93777341abf1332ca13fe4810e7f8cfcf0d96a5e1dc1cd74e904f23c56dc55
certificate_candidate,cand_cert_0002,cert_0002,금형기술사,[],Q-Net,domain_0006,"[""domain_0006""]","[""job_0034"", ""job_0035"", ""job_0036"", ""job_0037"", ""job_0038"", ""job_0039""]","[""제어계측공학"", ""산업공학"", ""기전공학""]","[""risk_0001"", ""risk_0002""]","[""roadmap_stage_0005""]",4_기술사,"금형기술사 (Q-Net). 등급: 4_기술사. 자격 유형: 국가기술자격. 관련 직무: 기계설계, 기계정비, 생산관리, 생산기술, 공정관리, 품질관리. 관련 학과: 제어계측공학, 산업공학, 기전공학. 시험 난이도: 5.0. 시험 과목: 필기 + 실기 + 면접. 연간 검정 횟수: 연 2회. 3년 평균 합격률: 28.73%.",금형기술사 기계설계 기계정비 생산관리 생산기술 공정관리 품질관리 제어계측공학 산업공학 기전공학,,,"[""qnet_major_list_2025""]",{},2026-04-19T02:03:01,366b2cda0444f11710ae29f19b23845e2067a9df8af76c1be5808063f1706105
certificate_candidate,cand_cert_0003,cert_0003,차량기술사,[],Q-Net,domain_0013,"[""domain_0013""]","[""job_0058"", ""job_0059""]","[""자동차정비"", ""자동차튜닝"", ""항공"", ""산업공학"", ""기전공학"", ""제어계측공학""]","[""risk_0001"", ""risk_0002""]","[""roadmap_stage_0005""]",4_기술사,"차량기술사 (Q-Net). 등급: 4_기술사. 자격 유형: 국가기술자격. 관련 직무: 자동차 정비, 자동차 진단평가. 관련 학과: 자동차정비, 자동차튜닝, 항공, 산업공학, 기전공학, 제어계측공학. 시험 난이도: 5.0. 시험 과목: 필기 + 실기. 연간 검정 횟수: 연 2회. 3년 평균 합격률: 21.5%.",차량기술사 자동차 정비 자동차 진단평가 자동차정비 자동차튜닝 항공 산업공학 기전공학 제어계측공학,,,"[""qnet_major_list_2025""]",{},2026-04-19T02:03:01,3059c6d08005967619c915ebe3dc2e61fef0d9f6e1999ede31381fc2ddefd286
certificate_candidate,cand_cert_0004,cert_0004,산업기계설비기술사,[],Q-Net,domain_0006,"[""domain_0006""]","[""job_0034"", ""job_0035"", ""job_0036"", ""job_0037"", ""job_0038"", ""job_0039""]","[""산업공학"", ""제어계측공학""]","[""risk_0001"", ""risk_0002""]","[""roadmap_stage_0005""]",4_기술사,"산업기계설비기술사 (Q-Net). 등급: 4_기술사. 자격 유형: 국가기술자격. 관련 직무: 기계설계, 기계정비, 생산관리, 생산기술, 공정관리, 품질관리. 관련 학과: 산업공학, 제어계측공학. 시험 난이도: 5.0. 시험 과목: 필기 + 실기 + 면접. 연간 검정 횟수: 연 1회. 3년 평균 합격률: 39.4%.",산업기계설비기술사 기계설계 기계정비 생산관리 생산기술 공정관리 품질관리 산업공학 제어계측공학,,,"[""qnet_major_list_2025""]",{},2026-04-19T02:03:01,81f31e0cb8f16d3f9d2edc02b02c22c1ccf8edece6b9aa772a0b17b0abc642fe
certificate_candidate,cand_cert_0005,cert_0005,공조냉동기계기술사,[],Q-Net,domain_0006,"[""domain_0006""]","[""job_0034"", ""job_0035"", ""job_0036"", ""job_0037"", ""job_0038"", ""job_0039""]","[""산업공학"", ""보건학""]","[""risk_0001"", ""risk_0002""]","[""roadmap_stage_0005""]",4_기술사,"공조냉동기계기술사 (Q-Net). 등급: 4_기술사. 자격 유형: 국가기술자격. 관련 직무: 기계설계, 기계정비, 생산관리, 생산기술, 공정관리, 품질관리. 관련 학과: 산업공학, 보건학. 시험 난이도: 5.0. 시험 과목: 필기 + 실기. 연간 검정 횟수: 연 3회. 3년 평균 합격률: 24.22%.",공조냉동기계기술사 기계설계 기계정비 생산관리 생산기술 공정관리 품질관리 산업공학 보건학,,,"[""qnet_major_list_2025""]",{},2026-04-19T02:03:01,259d4da9a2adc6733ffd7c343e0028e0b58616d0d294359bd3ba213bc0d4357d
certificate_candidate,cand_cert_0006,cert_0006,건설기계기술사,[],Q-Net,domain_0006,"[""domain_0006""]","[""job_0034"", ""job_0035"", ""job_0036"", ""job_0037"", ""job_0038"", ""job_0039""]","[""도시공학"", ""조경(학)"", ""산업공학"", ""지리학"", ""건축시공"", ""제어계측공학"", ""항공"", ""기전공학""]","[""risk_0001"", ""risk_0002""]","[""roadmap_stage_0005""]",4_기술사,"건설기계기술사 (Q-Net). 등급: 4_기술사. 자격 유형: 국가기술자격. 관련 직무: 기계설계, 기계정비, 생산관리, 생산기술, 공정관리, 품질관리. 관련 학과: 도시공학, 조경(학), 산업공학, 지리학, 건축시공, 제어계측공학, 항공, 기전공학. 시험 난이도: 5.0. 시험 과목: 필기 + 실기. 연간 검정 횟수: 연 2회. 3년 평균 합격률: 32.03%.",건설기계기술사 기계설계 기계정비 생산관리 생산기술 공정관리 품질관리 도시공학 조경(학) 산업공학 지리학 건축시공 제어계측공학 항공 기전공학,,,"[""qnet_major_list_2025""]",{},2026-04-19T02:03:01,a39d0be8fa7554a89ffca8664bed5331007d10e753a6784cf7efc6ac4fdb6f2a
certificate_candidate,cand_cert_0007,cert_0007,금속제련기술사,[],Q-Net,domain_0007,"[""domain_0007""]","[""job_0036"", ""job_0037"", ""job_0039""]",[],"[""risk_0001"", ""risk_0002""]","[""roadmap_stage_0005""]",4_기술사,"금속제련기술사 (Q-Net). 등급: 4_기술사. 자격 유형: 국가기술자격. 관련 직무: 생산관리, 생산기술, 품질관리. 시험 난이도: 4.0. 시험 과목: 필기 + 실기 + 면접. 연간 검정 횟수: 연 1회. 3년 평균 합격률: 53.27%.",금속제련기술사 생산관리 생산기술 품질관리,,,"[""qnet_major_list_2025""]",{},2026-04-19T02:03:01,ab20b7aa508c5a754ec0b06b4debb2f93f1818b4e9c3d0d325ad8a7aff1abf4b
certificate_candidate,cand_cert_0008,cert_0008,금속재료기술사,[],Q-Net,domain_0007,"[""domain_0007""]","[""job_0036"", ""job_0037"", ""job_0039""]","[""산업공학""]","[""risk_0001"", ""risk_0002""]","[""roadmap_stage_0005""]",4_기술사,"금속재료기술사 (Q-Net). 등급: 4_기술사. 자격 유형: 국가기술자격. 관련 직무: 생산관리, 생산기술, 품질관리. 관련 학과: 산업공학. 시험 난이도: 5.0. 시험 과목: 필기 + 실기 + 면접. 연간 검정 횟수: 연 1회. 3년 평균 합격률: 20.0%.",금속재료기술사 생산관리 생산기술 품질관리 산업공학,,,"[""qnet_major_list_2025""]",{},2026-04-19T02:03:01,a7bc81d3a750935253dfa216068daa4a7e9a940b7312cd63393fa83ab92c7a95
certificate_candidate,cand_cert_0009,cert_0009,표면처리기술사,[],Q-Net,domain_0006,"[""domain_0006""]","[""job_0034"", ""job_0035"", ""job_0036"", ""job_0037"", ""job_0038"", ""job_0039""]","[""제어계측공학"", ""산업공학"", ""기전공학""]","[""risk_0001"", ""risk_0002""]","[""roadmap_stage_0005""]",4_기술사,"표면처리기술사 (Q-Net). 등급: 4_기술사. 자격 유형: 국가기술자격. 관련 직무: 기계설계, 기계정비, 생산관리, 생산기술, 공정관리, 품질관리. 관련 학과: 제어계측공학, 산업공학, 기전공학. 시험 난이도: 4.0. 시험 과목: 필기 + 실기. 연간 검정 횟수: 연 1회. 3년 평균 합격률: 63.87%.",표면처리기술사 기계설계 기계정비 생산관리 생산기술 공정관리 품질관리 제어계측공학 산업공학 기전공학,,,"[""qnet_major_list_2025""]",{},2026-04-19T02:03:01,892dc81bc484a03836be1c856b56e933cd88d68d968c5d68839b88b5fdffd1c8
certificate_candidate,cand_cert_0010,cert_0010,금속가공기술사,[],Q-Net,domain_0007,"[""domain_0007""]","[""job_0036"", ""job_0037"", ""job_0039""]",[],"[""risk_0001"", ""risk_0002""]","[""roadmap_stage_0005""]",4_기술사,"금속가공기술사 (Q-Net). 등급: 4_기술사. 자격 유형: 국가기술자격. 관련 직무: 생산관리, 생산기술, 품질관리. 시험 난이도: 5.0. 시험 과목: 필기 + 실기 + 면접. 연간 검정 횟수: 연 1회. 3년 평균 합격률: 43.07%.",금속가공기술사 생산관리 생산기술 품질관리,,,"[""qnet_major_list_2025""]",{},2026-04-19T02:03:01,55329a636217db2aa1a921c2f3911a66d15a7fcfe7fdf54ee6cb2073c46d75e4
