relation_id,cert_id,domain_sub_label_id,is_primary,is_active
cdm_00001,cert_0001,domain_0006,True,True
cdm_00002,cert_0002,domain_0006,True,True
cdm_00003,cert_0003,domain_0013,True,True
cdm_00004,cert_0004,domain_0006,True,True
cdm_00005,cert_0005,domain_0006,True,True
cdm_00006,cert_0006,domain_0006,True,True
cdm_00007,cert_0007,domain_0007,True,True
cdm_00008,cert_0008,domain_0007,True,True
cdm_00009,cert_0009,domain_0006,True,True
cdm_00010,cert_0010,domain_0007,True,True
cdm_00011,cert_0011,domain_0008,True,True
cdm_00012,cert_0012,domain_0005,True,True
cdm_00013,cert_0013,domain_0005,True,True
cdm_00014,cert_0014,domain_0005,True,True
cdm_00015,cert_0015,domain_0005,True,True
cdm_00016,cert_0016,domain_0005,True,True
cdm_00017,cert_0017,domain_0041,True,True
cdm_00018,cert_0018,domain_0042,True,True
cdm_00019,cert_0019,domain_0042,True,True
cdm_00020,cert_0020,domain_0011,True,True
cdm_00021,cert_0021,domain_0011,True,True
cdm_00022,cert_0022,domain_0011,True,True
cdm_00023,cert_0023,domain_0011,True,True
cdm_00024,cert_0024,domain_0011,True,True
cdm_00025,cert_0025,domain_0040,True,True
cdm_00026,cert_0026,domain_0005,True,True
cdm_00027,cert_0027,domain_0011,True,True
cdm_00028,cert_0028,domain_0011,True,True
cdm_00029,cert_0029,domain_0011,True,True
cdm_00030,cert_0030,domain_0011,True,True
cdm_00031,cert_0031,domain_0011,True,True
cdm_00032,cert_0032,domain_0010,True,True
cdm_00033,cert_0033,domain_0010,True,True
cdm_00034,cert_0034,domain_0010,True,True
cdm_00035,cert_0035,domain_0005,True,True
cdm_00036,cert_0036,domain_0010,True,True
cdm_00037,cert_0037,domain_0010,True,True
cdm_00038,cert_0038,domain_0032,True,True
cdm_00039,cert_0039,domain_0032,True,True
cdm_00040,cert_0040,domain_0039,True,True
cdm_00041,cert_0041,domain_0012,True,True
cdm_00042,cert_0042,domain_0039,True,True
cdm_00043,cert_0043,domain_0002,True,True
cdm_00044,cert_0044,domain_0004,True,True
cdm_00045,cert_0045,domain_0002,True,True
cdm_00046,cert_0046,domain_0009,True,True
cdm_00047,cert_0047,domain_0009,True,True
cdm_00048,cert_0048,domain_0011,True,True
cdm_00049,cert_0049,domain_0012,True,True
cdm_00050,cert_0050,domain_0011,True,True
cdm_00051,cert_0051,domain_0011,True,True
