relation_id,cert_id,job_role_id,is_active
cjm_00001,cert_0001,job_0034,True
cjm_00002,cert_0001,job_0035,True
cjm_00003,cert_0001,job_0036,True
cjm_00004,cert_0001,job_0037,True
cjm_00005,cert_0001,job_0038,True
cjm_00006,cert_0001,job_0039,True
cjm_00007,cert_0002,job_0034,True
cjm_00008,cert_0002,job_0035,True
cjm_00009,cert_0002,job_0036,True
cjm_00010,cert_0002,job_0037,True
cjm_00011,cert_0002,job_0038,True
cjm_00012,cert_0002,job_0039,True
cjm_00013,cert_0003,job_0058,True
cjm_00014,cert_0003,job_0059,True
cjm_00015,cert_0004,job_0034,True
cjm_00016,cert_0004,job_0035,True
cjm_00017,cert_0004,job_0036,True
cjm_00018,cert_0004,job_0037,True
cjm_00019,cert_0004,job_0038,True
cjm_00020,cert_0004,job_0039,True
cjm_00021,cert_0005,job_0034,True
cjm_00022,cert_0005,job_0035,True
cjm_00023,cert_0005,job_0036,True
cjm_00024,cert_0005,job_0037,True
cjm_00025,cert_0005,job_0038,True
cjm_00026,cert_0005,job_0039,True
cjm_00027,cert_0006,job_0034,True
cjm_00028,cert_0006,job_0035,True
cjm_00029,cert_0006,job_0036,True
cjm_00030,cert_0006,job_0037,True
cjm_00031,cert_0006,job_0038,True
cjm_00032,cert_0006,job_0039,True
cjm_00033,cert_0007,job_0036,True
cjm_00034,cert_0007,job_0037,True
cjm_00035,cert_0007,job_0039,True
cjm_00036,cert_0008,job_0036,True
cjm_00037,cert_0008,job_0037,True
cjm_00038,cert_0008,job_0039,True
cjm_00039,cert_0009,job_0034,True
cjm_00040,cert_0009,job_0035,True
cjm_00041,cert_0009,job_0036,True
cjm_00042,cert_0009,job_0037,True
cjm_00043,cert_0009,job_0038,True
cjm_00044,cert_0009,job_0039,True
cjm_00045,cert_0010,job_0036,True
cjm_00046,cert_0010,job_0037,True
cjm_00047,cert_0010,job_0039,True
cjm_00048,cert_0011,job_0038,True
cjm_00049,cert_0011,job_0039,True
cjm_00050,cert_0011,job_0043,True
cjm_00051,cert_0012,job_0030,True
cjm_00052,cert_0012,job_0031,True
cjm_00053,cert_0012,job_0032,True
cjm_00054,cert_0012,job_0033,True
cjm_00055,cert_0013,job_0030,True
cjm_00056,cert_0013,job_0031,True
cjm_00057,cert_0013,job_0032,True
cjm_00058,cert_0013,job_0033,True
cjm_00059,cert_0014,job_0030,True
cjm_00060,cert_0014,job_0031,True
cjm_00061,cert_0014,job_0032,True
cjm_00062,cert_0014,job_0033,True
cjm_00063,cert_0015,job_0030,True
cjm_00064,cert_0015,job_0031,True
cjm_00065,cert_0015,job_0032,True
cjm_00066,cert_0015,job_0033,True
cjm_00067,cert_0016,job_0030,True
cjm_00068,cert_0016,job_0031,True
cjm_00069,cert_0016,job_0032,True
cjm_00070,cert_0016,job_0033,True
cjm_00071,cert_0017,job_0060,True
cjm_00072,cert_0017,job_0061,True
cjm_00073,cert_0017,job_0062,True
cjm_00074,cert_0018,job_0063,True
cjm_00075,cert_0018,job_0064,True
cjm_00076,cert_0019,job_0063,True
cjm_00077,cert_0019,job_0064,True
cjm_00078,cert_0020,job_0049,True
cjm_00079,cert_0020,job_0050,True
cjm_00080,cert_0020,job_0051,True
cjm_00081,cert_0020,job_0052,True
cjm_00082,cert_0020,job_0053,True
cjm_00083,cert_0021,job_0049,True
cjm_00084,cert_0021,job_0050,True
cjm_00085,cert_0021,job_0051,True
cjm_00086,cert_0021,job_0052,True
cjm_00087,cert_0021,job_0053,True
cjm_00088,cert_0022,job_0049,True
cjm_00089,cert_0022,job_0050,True
cjm_00090,cert_0022,job_0051,True
cjm_00091,cert_0022,job_0052,True
cjm_00092,cert_0022,job_0053,True
cjm_00093,cert_0023,job_0049,True
cjm_00094,cert_0023,job_0050,True
cjm_00095,cert_0023,job_0051,True
cjm_00096,cert_0023,job_0052,True
cjm_00097,cert_0023,job_0053,True
cjm_00098,cert_0024,job_0049,True
cjm_00099,cert_0024,job_0050,True
cjm_00100,cert_0024,job_0051,True
cjm_00101,cert_0024,job_0052,True
cjm_00102,cert_0024,job_0053,True
cjm_00103,cert_0025,job_0055,True
cjm_00104,cert_0025,job_0056,True
cjm_00105,cert_0025,job_0057,True
cjm_00106,cert_0026,job_0030,True
cjm_00107,cert_0026,job_0031,True
cjm_00108,cert_0026,job_0032,True
cjm_00109,cert_0026,job_0033,True
cjm_00110,cert_0027,job_0049,True
cjm_00111,cert_0027,job_0050,True
cjm_00112,cert_0027,job_0051,True
cjm_00113,cert_0027,job_0052,True
cjm_00114,cert_0027,job_0053,True
cjm_00115,cert_0028,job_0049,True
cjm_00116,cert_0028,job_0050,True
cjm_00117,cert_0028,job_0051,True
cjm_00118,cert_0028,job_0052,True
cjm_00119,cert_0028,job_0053,True
cjm_00120,cert_0029,job_0049,True
cjm_00121,cert_0029,job_0050,True
cjm_00122,cert_0029,job_0051,True
cjm_00123,cert_0029,job_0052,True
cjm_00124,cert_0029,job_0053,True
cjm_00125,cert_0030,job_0049,True
cjm_00126,cert_0030,job_0050,True
cjm_00127,cert_0030,job_0051,True
cjm_00128,cert_0030,job_0052,True
cjm_00129,cert_0030,job_0053,True
cjm_00130,cert_0031,job_0049,True
cjm_00131,cert_0031,job_0050,True
cjm_00132,cert_0031,job_0051,True
cjm_00133,cert_0031,job_0052,True
cjm_00134,cert_0031,job_0053,True
cjm_00135,cert_0032,job_0046,True
cjm_00136,cert_0032,job_0047,True
cjm_00137,cert_0032,job_0048,True
cjm_00138,cert_0033,job_0046,True
cjm_00139,cert_0033,job_0047,True
cjm_00140,cert_0033,job_0048,True
cjm_00141,cert_0034,job_0046,True
cjm_00142,cert_0034,job_0047,True
cjm_00143,cert_0034,job_0048,True
cjm_00144,cert_0035,job_0030,True
cjm_00145,cert_0035,job_0031,True
cjm_00146,cert_0035,job_0032,True
cjm_00147,cert_0035,job_0033,True
cjm_00148,cert_0036,job_0046,True
cjm_00149,cert_0036,job_0047,True
cjm_00150,cert_0036,job_0048,True
cjm_00151,cert_0037,job_0046,True
cjm_00152,cert_0037,job_0047,True
cjm_00153,cert_0037,job_0048,True
cjm_00154,cert_0038,job_0132,True
cjm_00155,cert_0039,job_0132,True
cjm_00156,cert_0040,job_0138,True
cjm_00157,cert_0041,job_0041,True
cjm_00158,cert_0041,job_0043,True
cjm_00159,cert_0041,job_0053,True
cjm_00160,cert_0042,job_0138,True
cjm_00161,cert_0043,job_0009,True
cjm_00162,cert_0043,job_0010,True
cjm_00163,cert_0043,job_0011,True
cjm_00164,cert_0043,job_0012,True
cjm_00165,cert_0043,job_0013,True
cjm_00166,cert_0043,job_0014,True
cjm_00167,cert_0043,job_0015,True
cjm_00168,cert_0043,job_0016,True
cjm_00169,cert_0043,job_0017,True
cjm_00170,cert_0043,job_0018,True
cjm_00171,cert_0043,job_0019,True
cjm_00172,cert_0044,job_0027,True
cjm_00173,cert_0044,job_0028,True
cjm_00174,cert_0045,job_0009,True
cjm_00175,cert_0045,job_0010,True
cjm_00176,cert_0045,job_0011,True
cjm_00177,cert_0045,job_0012,True
cjm_00178,cert_0045,job_0013,True
cjm_00179,cert_0045,job_0014,True
cjm_00180,cert_0045,job_0015,True
cjm_00181,cert_0045,job_0016,True
cjm_00182,cert_0045,job_0017,True
cjm_00183,cert_0045,job_0018,True
cjm_00184,cert_0045,job_0019,True
cjm_00185,cert_0046,job_0044,True
cjm_00186,cert_0046,job_0045,True
cjm_00187,cert_0047,job_0044,True
cjm_00188,cert_0047,job_0045,True
cjm_00189,cert_0048,job_0049,True
cjm_00190,cert_0048,job_0050,True
cjm_00191,cert_0048,job_0051,True
cjm_00192,cert_0048,job_0052,True
cjm_00193,cert_0048,job_0053,True
cjm_00194,cert_0049,job_0041,True
cjm_00195,cert_0049,job_0043,True
cjm_00196,cert_0049,job_0053,True
cjm_00197,cert_0050,job_0049,True
cjm_00198,cert_0050,job_0050,True
cjm_00199,cert_0050,job_0051,True
cjm_00200,cert_0050,job_0052,True
cjm_00201,cert_0050,job_0053,True
cjm_00202,cert_0051,job_0049,True
cjm_00203,cert_0051,job_0050,True
cjm_00204,cert_0051,job_0051,True
cjm_00205,cert_0051,job_0052,True
cjm_00206,cert_0051,job_0053,True
cjm_00207,cert_0052,job_0049,True
cjm_00208,cert_0052,job_0050,True
cjm_00209,cert_0052,job_0051,True
cjm_00210,cert_0052,job_0052,True
cjm_00211,cert_0052,job_0053,True
cjm_00212,cert_0053,job_0049,True
cjm_00213,cert_0053,job_0050,True
cjm_00214,cert_0053,job_0051,True
cjm_00215,cert_0053,job_0052,True
cjm_00216,cert_0053,job_0053,True
cjm_00217,cert_0054,job_0133,True
cjm_00218,cert_0054,job_0134,True
cjm_00219,cert_0054,job_0135,True
cjm_00220,cert_0054,job_0136,True
cjm_00221,cert_0054,job_0137,True
cjm_00222,cert_0055,job_0133,True
cjm_00223,cert_0055,job_0134,True
cjm_00224,cert_0055,job_0135,True
cjm_00225,cert_0055,job_0136,True
cjm_00226,cert_0055,job_0137,True
cjm_00227,cert_0056,job_0041,True
cjm_00228,cert_0056,job_0043,True
cjm_00229,cert_0056,job_0053,True
cjm_00230,cert_0057,job_0041,True
cjm_00231,cert_0057,job_0043,True
cjm_00232,cert_0057,job_0053,True
cjm_00233,cert_0058,job_0041,True
cjm_00234,cert_0058,job_0043,True
cjm_00235,cert_0058,job_0053,True
cjm_00236,cert_0059,job_0041,True
cjm_00237,cert_0059,job_0043,True
