relation_id,cert_id,ncs_id,is_active
cnm_00001,cert_0911,ncs_0001,True
cnm_00002,cert_0912,ncs_0001,True
cnm_00003,cert_1061,ncs_0001,True
cnm_00004,cert_0636,ncs_0004,True
cnm_00005,cert_1007,ncs_0004,True
cnm_00006,cert_0901,ncs_0005,True
cnm_00007,cert_0706,ncs_0005,True
cnm_00008,cert_0900,ncs_0005,True
cnm_00009,cert_0907,ncs_0005,True
cnm_00010,cert_0698,ncs_0005,True
cnm_00011,cert_0699,ncs_0005,True
cnm_00012,cert_0923,ncs_0005,True
cnm_00013,cert_1109,ncs_0005,True
cnm_00014,cert_1110,ncs_0005,True
cnm_00015,cert_1129,ncs_0005,True
cnm_00016,cert_1143,ncs_0005,True
cnm_00017,cert_1128,ncs_0005,True
cnm_00018,cert_1193,ncs_0006,True
cnm_00019,cert_0908,ncs_0007,True
cnm_00020,cert_0259,ncs_0007,True
cnm_00021,cert_1193,ncs_0007,True
cnm_00022,cert_0834,ncs_0007,True
cnm_00023,cert_1100,ncs_0007,True
cnm_00024,cert_1107,ncs_0007,True
cnm_00025,cert_0908,ncs_0008,True
cnm_00026,cert_0259,ncs_0008,True
cnm_00027,cert_0920,ncs_0008,True
cnm_00028,cert_0911,ncs_0008,True
cnm_00029,cert_0913,ncs_0008,True
cnm_00030,cert_0894,ncs_0008,True
cnm_00031,cert_0921,ncs_0008,True
cnm_00032,cert_0912,ncs_0008,True
cnm_00033,cert_0914,ncs_0008,True
cnm_00034,cert_0895,ncs_0008,True
cnm_00035,cert_0922,ncs_0008,True
cnm_00036,cert_0915,ncs_0008,True
cnm_00037,cert_0896,ncs_0008,True
cnm_00038,cert_1109,ncs_0008,True
cnm_00039,cert_1110,ncs_0008,True
cnm_00040,cert_1129,ncs_0008,True
cnm_00041,cert_1101,ncs_0008,True
cnm_00042,cert_1102,ncs_0008,True
cnm_00043,cert_0894,ncs_0009,True
cnm_00044,cert_0895,ncs_0009,True
cnm_00045,cert_0896,ncs_0009,True
cnm_00046,cert_0894,ncs_0010,True
cnm_00047,cert_0895,ncs_0010,True
cnm_00048,cert_0896,ncs_0010,True
cnm_00049,cert_1195,ncs_0010,True
cnm_00050,cert_0729,ncs_0010,True
cnm_00051,cert_0810,ncs_0010,True
cnm_00052,cert_1025,ncs_0010,True
cnm_00053,cert_1026,ncs_0010,True
cnm_00054,cert_1028,ncs_0010,True
cnm_00055,cert_1097,ncs_0010,True
cnm_00056,cert_1098,ncs_0010,True
