relation_id,cert_id,prerequisite_cert_id,relation_kind,domain_name_raw,subject_prefix,is_active
prereq_00001,cert_0449,cert_0655,recommended_prior,건설기계운전,공기압축기*,True
prereq_00002,cert_0448,cert_0647,recommended_prior,건설기계운전,불도저*,True
prereq_00003,cert_0229,cert_0480,recommended_prior,건설배관,배관,True
prereq_00004,cert_0277,cert_0574,recommended_prior,건축,건축*,True
prereq_00005,cert_0309,cert_0574,recommended_prior,건축,건축*,True
prereq_00006,cert_0310,cert_0574,recommended_prior,건축,건축*,True
prereq_00007,cert_0265,cert_0574,recommended_prior,건축,건축*,True
prereq_00008,cert_0266,cert_0574,recommended_prior,건축,건축*,True
prereq_00009,cert_0420,cert_0574,recommended_prior,건축,건축*,True
prereq_00010,cert_0424,cert_0574,recommended_prior,건축,건축*,True
prereq_00011,cert_0277,cert_0569,recommended_prior,건축,건축*,True
prereq_00012,cert_0309,cert_0569,recommended_prior,건축,건축*,True
prereq_00013,cert_0310,cert_0569,recommended_prior,건축,건축*,True
prereq_00014,cert_0265,cert_0569,recommended_prior,건축,건축*,True
prereq_00015,cert_0266,cert_0569,recommended_prior,건축,건축*,True
prereq_00016,cert_0420,cert_0569,recommended_prior,건축,건축*,True
prereq_00017,cert_0424,cert_0569,recommended_prior,건축,건축*,True
prereq_00018,cert_0277,cert_0572,recommended_prior,건축,건축*,True
prereq_00019,cert_0309,cert_0572,recommended_prior,건축,건축*,True
prereq_00020,cert_0310,cert_0572,recommended_prior,건축,건축*,True
prereq_00021,cert_0265,cert_0572,recommended_prior,건축,건축*,True
prereq_00022,cert_0266,cert_0572,recommended_prior,건축,건축*,True
prereq_00023,cert_0420,cert_0572,recommended_prior,건축,건축*,True
prereq_00024,cert_0424,cert_0572,recommended_prior,건축,건축*,True
prereq_00025,cert_0277,cert_0560,recommended_prior,건축,건축*,True
prereq_00026,cert_0309,cert_0560,recommended_prior,건축,건축*,True
prereq_00027,cert_0310,cert_0560,recommended_prior,건축,건축*,True
prereq_00028,cert_0265,cert_0560,recommended_prior,건축,건축*,True
prereq_00029,cert_0266,cert_0560,recommended_prior,건축,건축*,True
prereq_00030,cert_0420,cert_0560,recommended_prior,건축,건축*,True
prereq_00031,cert_0424,cert_0560,recommended_prior,건축,건축*,True
prereq_00032,cert_0129,cert_0574,recommended_prior,건축,건축*,True
prereq_00033,cert_0185,cert_0574,recommended_prior,건축,건축*,True
prereq_00034,cert_0186,cert_0574,recommended_prior,건축,건축*,True
prereq_00035,cert_0129,cert_0569,recommended_prior,건축,건축*,True
prereq_00036,cert_0185,cert_0569,recommended_prior,건축,건축*,True
prereq_00037,cert_0186,cert_0569,recommended_prior,건축,건축*,True
prereq_00038,cert_0129,cert_0572,recommended_prior,건축,건축*,True
prereq_00039,cert_0185,cert_0572,recommended_prior,건축,건축*,True
prereq_00040,cert_0186,cert_0572,recommended_prior,건축,건축*,True
prereq_00041,cert_0129,cert_0560,recommended_prior,건축,건축*,True
prereq_00042,cert_0185,cert_0560,recommended_prior,건축,건축*,True
prereq_00043,cert_0186,cert_0560,recommended_prior,건축,건축*,True
prereq_00044,cert_0129,cert_0277,recommended_prior,건축,건축*,True
prereq_00045,cert_0185,cert_0277,recommended_prior,건축,건축*,True
prereq_00046,cert_0186,cert_0277,recommended_prior,건축,건축*,True
