relation_id,from_cert_id,to_cert_id,relation_type,reasoning_evidence,source,confidence,is_active
c2c_00001,cert_0090,cert_0076,prerequisite,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00002,cert_0090,cert_0352,recommended_prior,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00003,cert_0090,cert_0354,recommended_prior,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00004,cert_0091,cert_0001,prerequisite,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00005,cert_0091,cert_0357,recommended_prior,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00006,cert_0092,cert_0006,prerequisite,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00007,cert_0092,cert_0359,recommended_prior,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00008,cert_0092,cert_0360,recommended_prior,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00009,cert_0093,cert_0002,prerequisite,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00010,cert_0093,cert_0353,recommended_prior,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00011,cert_0094,cert_0002,prerequisite,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00012,cert_0094,cert_0353,recommended_prior,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00013,cert_0098,cert_0049,prerequisite,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00014,cert_0098,cert_0081,prerequisite,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00015,cert_0098,cert_0084,prerequisite,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00016,cert_0098,cert_0085,prerequisite,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00017,cert_0099,cert_0025,prerequisite,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00018,cert_0099,cert_0362,recommended_prior,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00019,cert_0100,cert_0006,prerequisite,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00020,cert_0100,cert_0359,recommended_prior,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00021,cert_0100,cert_0360,recommended_prior,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00022,cert_0102,cert_0006,prerequisite,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00023,cert_0102,cert_0359,recommended_prior,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00024,cert_0102,cert_0360,recommended_prior,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
c2c_00025,cert_0105,cert_0358,recommended_prior,NCS 공식 자격 체계 기준,cert_prerequisite,1.00,True
