relation_id,cert_id,roadmap_stage_id,cert_grade_tier,is_active
c2rs_00001,cert_0001,roadmap_stage_0005,4_기술사,True
c2rs_00002,cert_0002,roadmap_stage_0005,4_기술사,True
c2rs_00003,cert_0003,roadmap_stage_0005,4_기술사,True
c2rs_00004,cert_0004,roadmap_stage_0005,4_기술사,True
c2rs_00005,cert_0005,roadmap_stage_0005,4_기술사,True
c2rs_00006,cert_0006,roadmap_stage_0005,4_기술사,True
c2rs_00007,cert_0007,roadmap_stage_0005,4_기술사,True
c2rs_00008,cert_0008,roadmap_stage_0005,4_기술사,True
c2rs_00009,cert_0009,roadmap_stage_0005,4_기술사,True
c2rs_00010,cert_0010,roadmap_stage_0005,4_기술사,True
c2rs_00011,cert_0011,roadmap_stage_0005,4_기술사,True
c2rs_00012,cert_0012,roadmap_stage_0005,4_기술사,True
c2rs_00013,cert_0013,roadmap_stage_0005,4_기술사,True
c2rs_00014,cert_0014,roadmap_stage_0005,4_기술사,True
c2rs_00015,cert_0015,roadmap_stage_0005,4_기술사,True
c2rs_00016,cert_0016,roadmap_stage_0005,4_기술사,True
c2rs_00017,cert_0017,roadmap_stage_0005,4_기술사,True
c2rs_00018,cert_0018,roadmap_stage_0005,4_기술사,True
c2rs_00019,cert_0019,roadmap_stage_0005,4_기술사,True
c2rs_00020,cert_0020,roadmap_stage_0005,4_기술사,True
c2rs_00021,cert_0021,roadmap_stage_0005,4_기술사,True
c2rs_00022,cert_0022,roadmap_stage_0005,4_기술사,True
c2rs_00023,cert_0023,roadmap_stage_0005,4_기술사,True
c2rs_00024,cert_0024,roadmap_stage_0005,4_기술사,True
c2rs_00025,cert_0025,roadmap_stage_0005,4_기술사,True
c2rs_00026,cert_0026,roadmap_stage_0005,4_기술사,True
c2rs_00027,cert_0027,roadmap_stage_0005,4_기술사,True
c2rs_00028,cert_0028,roadmap_stage_0005,4_기술사,True
c2rs_00029,cert_0029,roadmap_stage_0005,4_기술사,True
c2rs_00030,cert_0030,roadmap_stage_0005,4_기술사,True
c2rs_00031,cert_0031,roadmap_stage_0005,4_기술사,True
c2rs_00032,cert_0032,roadmap_stage_0005,4_기술사,True
c2rs_00033,cert_0033,roadmap_stage_0005,4_기술사,True
c2rs_00034,cert_0034,roadmap_stage_0005,4_기술사,True
c2rs_00035,cert_0035,roadmap_stage_0005,4_기술사,True
c2rs_00036,cert_0036,roadmap_stage_0005,4_기술사,True
c2rs_00037,cert_0037,roadmap_stage_0005,4_기술사,True
c2rs_00038,cert_0038,roadmap_stage_0005,4_기술사,True
c2rs_00039,cert_0039,roadmap_stage_0005,4_기술사,True
c2rs_00040,cert_0040,roadmap_stage_0005,4_기술사,True
c2rs_00041,cert_0041,roadmap_stage_0005,4_기술사,True
c2rs_00042,cert_0042,roadmap_stage_0005,4_기술사,True
c2rs_00043,cert_0043,roadmap_stage_0005,4_기술사,True
c2rs_00044,cert_0044,roadmap_stage_0005,4_기술사,True
c2rs_00045,cert_0045,roadmap_stage_0005,4_기술사,True
c2rs_00046,cert_0046,roadmap_stage_0005,4_기술사,True
c2rs_00047,cert_0047,roadmap_stage_0005,4_기술사,True
c2rs_00048,cert_0048,roadmap_stage_0005,4_기술사,True
c2rs_00049,cert_0049,roadmap_stage_0005,4_기술사,True
c2rs_00050,cert_0050,roadmap_stage_0005,4_기술사,True
c2rs_00051,cert_0051,roadmap_stage_0005,4_기술사,True
c2rs_00052,cert_0052,roadmap_stage_0005,4_기술사,True
c2rs_00053,cert_0053,roadmap_stage_0005,4_기술사,True
c2rs_00054,cert_0054,roadmap_stage_0005,4_기술사,True
c2rs_00055,cert_0055,roadmap_stage_0005,4_기술사,True
c2rs_00056,cert_0056,roadmap_stage_0005,4_기술사,True
c2rs_00057,cert_0057,roadmap_stage_0005,4_기술사,True
c2rs_00058,cert_0058,roadmap_stage_0005,4_기술사,True
c2rs_00059,cert_0059,roadmap_stage_0005,4_기술사,True
c2rs_00060,cert_0060,roadmap_stage_0005,4_기술사,True
c2rs_00061,cert_0061,roadmap_stage_0005,4_기술사,True
c2rs_00062,cert_0062,roadmap_stage_0005,4_기술사,True
c2rs_00063,cert_0063,roadmap_stage_0005,4_기술사,True
c2rs_00064,cert_0064,roadmap_stage_0005,4_기술사,True
c2rs_00065,cert_0065,roadmap_stage_0005,4_기술사,True
c2rs_00066,cert_0066,roadmap_stage_0005,4_기술사,True
c2rs_00067,cert_0067,roadmap_stage_0005,4_기술사,True
c2rs_00068,cert_0068,roadmap_stage_0005,4_기술사,True
c2rs_00069,cert_0069,roadmap_stage_0005,4_기술사,True
c2rs_00070,cert_0070,roadmap_stage_0005,4_기술사,True
c2rs_00071,cert_0071,roadmap_stage_0005,4_기술사,True
c2rs_00072,cert_0072,roadmap_stage_0005,4_기술사,True
c2rs_00073,cert_0073,roadmap_stage_0005,4_기술사,True
c2rs_00074,cert_0074,roadmap_stage_0005,4_기술사,True
c2rs_00075,cert_0075,roadmap_stage_0005,4_기술사,True
c2rs_00076,cert_0076,roadmap_stage_0005,4_기술사,True
c2rs_00077,cert_0077,roadmap_stage_0005,4_기술사,True
c2rs_00078,cert_0078,roadmap_stage_0005,4_기술사,True
c2rs_00079,cert_0079,roadmap_stage_0005,4_기술사,True
c2rs_00080,cert_0080,roadmap_stage_0005,4_기술사,True
c2rs_00081,cert_0081,roadmap_stage_0005,4_기술사,True
c2rs_00082,cert_0082,roadmap_stage_0005,4_기술사,True
c2rs_00083,cert_0083,roadmap_stage_0005,4_기술사,True
c2rs_00084,cert_0084,roadmap_stage_0005,4_기술사,True
c2rs_00085,cert_0085,roadmap_stage_0005,4_기술사,True
c2rs_00086,cert_0086,roadmap_stage_0005,4_기술사,True
c2rs_00087,cert_0087,roadmap_stage_0005,4_기술사,True
c2rs_00088,cert_0088,roadmap_stage_0005,4_기술사,True
c2rs_00089,cert_0089,roadmap_stage_0005,4_기술사,True
c2rs_00090,cert_0090,roadmap_stage_0004,3_기사,True
c2rs_00091,cert_0091,roadmap_stage_0004,3_기사,True
c2rs_00092,cert_0092,roadmap_stage_0004,3_기사,True
c2rs_00093,cert_0093,roadmap_stage_0004,3_기사,True
c2rs_00094,cert_0094,roadmap_stage_0004,3_기사,True
c2rs_00095,cert_0095,roadmap_stage_0004,3_기사,True
c2rs_00096,cert_0096,roadmap_stage_0004,3_기사,True
c2rs_00097,cert_0097,roadmap_stage_0004,3_기사,True
c2rs_00098,cert_0098,roadmap_stage_0004,3_기사,True
c2rs_00099,cert_0099,roadmap_stage_0004,3_기사,True
c2rs_00100,cert_0100,roadmap_stage_0004,3_기사,True
c2rs_00101,cert_0101,roadmap_stage_0004,3_기사,True
c2rs_00102,cert_0102,roadmap_stage_0004,3_기사,True
c2rs_00103,cert_0103,roadmap_stage_0004,3_기사,True
c2rs_00104,cert_0104,roadmap_stage_0004,3_기사,True
c2rs_00105,cert_0105,roadmap_stage_0004,3_기사,True
c2rs_00106,cert_0106,roadmap_stage_0004,3_기사,True
c2rs_00107,cert_0107,roadmap_stage_0004,3_기사,True
c2rs_00108,cert_0108,roadmap_stage_0004,3_기사,True
c2rs_00109,cert_0109,roadmap_stage_0004,3_기사,True
c2rs_00110,cert_0110,roadmap_stage_0004,3_기사,True
c2rs_00111,cert_0111,roadmap_stage_0004,3_기사,True
c2rs_00112,cert_0112,roadmap_stage_0004,3_기사,True
c2rs_00113,cert_0113,roadmap_stage_0004,3_기사,True
c2rs_00114,cert_0114,roadmap_stage_0004,3_기사,True
c2rs_00115,cert_0115,roadmap_stage_0004,3_기사,True
c2rs_00116,cert_0116,roadmap_stage_0004,3_기사,True
c2rs_00117,cert_0117,roadmap_stage_0004,3_기사,True
c2rs_00118,cert_0118,roadmap_stage_0004,3_기사,True
c2rs_00119,cert_0119,roadmap_stage_0004,3_기사,True
c2rs_00120,cert_0120,roadmap_stage_0004,3_기사,True
c2rs_00121,cert_0121,roadmap_stage_0004,3_기사,True
c2rs_00122,cert_0122,roadmap_stage_0004,3_기사,True
c2rs_00123,cert_0123,roadmap_stage_0004,3_기사,True
c2rs_00124,cert_0124,roadmap_stage_0004,3_기사,True
c2rs_00125,cert_0125,roadmap_stage_0004,3_기사,True
c2rs_00126,cert_0126,roadmap_stage_0004,3_기사,True
c2rs_00127,cert_0127,roadmap_stage_0004,3_기사,True
c2rs_00128,cert_0128,roadmap_stage_0004,3_기사,True
