relation_id,major_id,domain_sub_label_id,domain_label_candidate,is_active
m2d_00001,major_qnet_1002,domain_0033,디자인,True
m2d_00002,major_qnet_1003,domain_0033,디자인,True
m2d_00003,major_qnet_1004,domain_0030,조리,True
m2d_00004,major_qnet_1005,domain_0030,조리,True
m2d_00005,major_qnet_1007,domain_0033,디자인,True
m2d_00006,major_qnet_1009,domain_0033,디자인,True
m2d_00007,major_qnet_1010,domain_0033,디자인,True
m2d_00008,major_qnet_1011,domain_0030,조리,True
m2d_00009,major_qnet_1012,domain_0010,건축,True
m2d_00010,major_qnet_1013,domain_0033,디자인,True
m2d_00011,major_qnet_1014,domain_0033,디자인,True
m2d_00012,major_qnet_1015,domain_0033,디자인,True
m2d_00013,major_qnet_1016,domain_0032,의복,True
m2d_00014,major_qnet_1018,domain_0030,조리,True
m2d_00015,major_qnet_1019,domain_0030,조리,True
m2d_00016,major_qnet_1020,domain_0008,화공,True
m2d_00017,major_qnet_1022,domain_0030,조리,True
m2d_00018,major_qnet_1023,domain_0030,조리,True
m2d_00019,major_qnet_1024,domain_0030,조리,True
m2d_00020,major_qnet_1026,domain_0038,농업,True
m2d_00021,major_qnet_1027,domain_0010,건축,True
m2d_00022,major_qnet_1028,domain_0010,건축,True
m2d_00023,major_qnet_1029,domain_0010,건축,True
m2d_00024,major_qnet_1030,domain_0010,건축,True
m2d_00025,major_qnet_1031,domain_0010,건축,True
m2d_00026,major_qnet_1032,domain_0010,건축,True
m2d_00027,major_qnet_1033,domain_0033,디자인,True
m2d_00028,major_qnet_1035,domain_0010,건축,True
m2d_00029,major_qnet_1036,domain_0010,건축,True
m2d_00030,major_qnet_1038,domain_0010,건축,True
m2d_00031,major_qnet_1039,domain_0033,디자인,True
m2d_00032,major_qnet_1040,domain_0010,건축,True
m2d_00033,major_qnet_1041,domain_0010,건축,True
m2d_00034,major_qnet_1043,domain_0010,건축,True
m2d_00035,major_qnet_1044,domain_0010,건축,True
m2d_00036,major_qnet_1045,domain_0010,건축,True
m2d_00037,major_qnet_1046,domain_0010,건축,True
m2d_00038,major_qnet_1047,domain_0010,건축,True
m2d_00039,major_qnet_1048,domain_0010,건축,True
m2d_00040,major_qnet_1049,domain_0010,건축,True
m2d_00041,major_qnet_1051,domain_0010,건축,True
m2d_00042,major_qnet_1052,domain_0010,건축,True
m2d_00043,major_qnet_1053,domain_0010,건축,True
m2d_00044,major_qnet_1054,domain_0010,건축,True
m2d_00045,major_qnet_1056,domain_0010,건축,True
m2d_00046,major_qnet_1057,domain_0010,건축,True
m2d_00047,major_qnet_1058,domain_0010,건축,True
m2d_00048,major_qnet_1059,domain_0010,건축,True
m2d_00049,major_qnet_1060,domain_0010,건축,True
m2d_00050,major_qnet_1061,domain_0010,건축,True
m2d_00051,major_qnet_1062,domain_0010,건축,True
m2d_00052,major_qnet_1063,domain_0010,건축,True
m2d_00053,major_qnet_1065,domain_0010,건축,True
m2d_00054,major_qnet_1066,domain_0010,건축,True
m2d_00055,major_qnet_1067,domain_0010,건축,True
m2d_00056,major_qnet_1069,domain_0010,건축,True
m2d_00057,major_qnet_1070,domain_0010,건축,True
m2d_00058,major_qnet_1071,domain_0010,건축,True
m2d_00059,major_qnet_1072,domain_0010,건축,True
m2d_00060,major_qnet_1073,domain_0010,건축,True
m2d_00061,major_qnet_1074,domain_0010,건축,True
m2d_00062,major_qnet_1075,domain_0010,건축,True
m2d_00063,major_qnet_1077,domain_0010,건축,True
m2d_00064,major_qnet_1079,domain_0010,건축,True
m2d_00065,major_qnet_1080,domain_0010,건축,True
m2d_00066,major_qnet_1085,domain_0010,건축,True
m2d_00067,major_qnet_1086,domain_0010,건축,True
m2d_00068,major_qnet_3984,domain_0010,건축,True
m2d_00069,major_qnet_1088,domain_0010,건축,True
m2d_00070,major_qnet_1089,domain_0010,건축,True
m2d_00071,major_qnet_1090,domain_0010,건축,True
m2d_00072,major_qnet_1091,domain_0010,건축,True
m2d_00073,major_qnet_1094,domain_0010,건축,True
m2d_00074,major_qnet_1095,domain_0010,건축,True
m2d_00075,major_qnet_1096,domain_0010,건축,True
m2d_00076,major_qnet_1097,domain_0010,건축,True
m2d_00077,major_qnet_1099,domain_0010,건축,True
m2d_00078,major_qnet_1100,domain_0010,건축,True
m2d_00079,major_qnet_1103,domain_0010,건축,True
m2d_00080,major_qnet_1106,domain_0010,건축,True
m2d_00081,major_qnet_1107,domain_0010,건축,True
m2d_00082,major_qnet_1108,domain_0010,건축,True
m2d_00083,major_qnet_1109,domain_0010,건축,True
m2d_00084,major_qnet_1110,domain_0010,건축,True
m2d_00085,major_qnet_1111,domain_0010,건축,True
m2d_00086,major_qnet_1112,domain_0010,건축,True
m2d_00087,major_qnet_1113,domain_0010,건축,True
m2d_00088,major_qnet_1114,domain_0010,건축,True
m2d_00089,major_qnet_1115,domain_0010,건축,True
m2d_00090,major_qnet_1117,domain_0010,건축,True
m2d_00091,major_qnet_1118,domain_0010,건축,True
m2d_00092,major_qnet_1120,domain_0010,건축,True
m2d_00093,major_qnet_1129,domain_0010,건축,True
m2d_00094,major_qnet_1130,domain_0010,건축,True
m2d_00095,major_qnet_1132,domain_0010,건축,True
m2d_00096,major_qnet_1133,domain_0010,건축,True
m2d_00097,major_qnet_1135,domain_0010,건축,True
m2d_00098,major_qnet_1136,domain_0010,건축,True
m2d_00099,major_qnet_1137,domain_0010,건축,True
m2d_00100,major_qnet_1138,domain_0010,건축,True
m2d_00101,major_qnet_1139,domain_0010,건축,True
m2d_00102,major_qnet_1140,domain_0010,건축,True
m2d_00103,major_qnet_1141,domain_0010,건축,True
m2d_00104,major_qnet_1143,domain_0010,건축,True
m2d_00105,major_qnet_1144,domain_0010,건축,True
m2d_00106,major_qnet_1146,domain_0010,건축,True
m2d_00107,major_qnet_1148,domain_0010,건축,True
m2d_00108,major_qnet_1153,domain_0010,건축,True
m2d_00109,major_qnet_1154,domain_0010,건축,True
m2d_00110,major_qnet_1157,domain_0010,건축,True
m2d_00111,major_qnet_1158,domain_0010,건축,True
m2d_00112,major_qnet_1164,domain_0033,디자인,True
m2d_00113,major_qnet_1165,domain_0033,디자인,True
m2d_00114,major_qnet_1166,domain_0033,디자인,True
m2d_00115,major_qnet_1167,domain_0033,디자인,True
m2d_00116,major_qnet_1168,domain_0033,디자인,True
m2d_00117,major_qnet_1169,domain_0033,디자인,True
m2d_00118,major_qnet_1171,domain_0033,디자인,True
m2d_00119,major_qnet_1173,domain_0005,전자,True
m2d_00120,major_qnet_1179,domain_0033,디자인,True
m2d_00121,major_qnet_1180,domain_0033,디자인,True
m2d_00122,major_qnet_1182,domain_0033,디자인,True
m2d_00123,major_qnet_1183,domain_0033,디자인,True
m2d_00124,major_qnet_1184,domain_0006,생산관리,True
m2d_00125,major_qnet_1185,domain_0006,생산관리,True
m2d_00126,major_qnet_1187,domain_0004,정보통신,True
m2d_00127,major_qnet_1188,domain_0005,전자,True
m2d_00128,major_qnet_1189,domain_0005,전자,True
m2d_00129,major_qnet_1191,domain_0005,전자,True
m2d_00130,major_qnet_1191,domain_0004,정보통신,True
m2d_00131,major_qnet_1192,domain_0005,전자,True
m2d_00132,major_qnet_1194,domain_0008,화공,True
m2d_00133,major_qnet_1195,domain_0008,화공,True
m2d_00134,major_qnet_1197,domain_0008,화공,True
m2d_00135,major_qnet_1200,domain_0008,화공,True
m2d_00136,major_qnet_1201,domain_0008,화공,True
m2d_00137,major_qnet_1202,domain_0008,화공,True
m2d_00138,major_qnet_1203,domain_0008,화공,True
m2d_00139,major_qnet_1204,domain_0040,철도,True
m2d_00140,major_qnet_1205,domain_0011,조경,True
m2d_00141,major_qnet_1206,domain_0010,건축,True
m2d_00142,major_qnet_1208,domain_0010,건축,True
m2d_00143,major_qnet_1209,domain_0010,건축,True
m2d_00144,major_qnet_1210,domain_0010,건축,True
m2d_00145,major_qnet_1211,domain_0033,디자인,True
m2d_00146,major_qnet_1212,domain_0010,건축,True
m2d_00147,major_qnet_1213,domain_0010,건축,True
m2d_00148,major_qnet_1214,domain_0010,건축,True
m2d_00149,major_qnet_1215,domain_0010,건축,True
