relation_id,support_program_id,risk_stage_id,is_active
sprs_0001,sp_0001,risk_0002,True
sprs_0002,sp_0001,risk_0003,True
sprs_0003,sp_0001,risk_0004,True
sprs_0004,sp_0001,risk_0005,True
sprs_0005,sp_0002,risk_0002,True
sprs_0006,sp_0002,risk_0003,True
sprs_0007,sp_0002,risk_0004,True
sprs_0008,sp_0002,risk_0005,True
sprs_0009,sp_0003,risk_0003,True
sprs_0010,sp_0003,risk_0004,True
sprs_0011,sp_0003,risk_0005,True
sprs_0012,sp_0004,risk_0002,True
sprs_0013,sp_0004,risk_0003,True
sprs_0014,sp_0004,risk_0004,True
sprs_0015,sp_0004,risk_0005,True
sprs_0016,sp_0005,risk_0003,True
sprs_0017,sp_0005,risk_0004,True
sprs_0018,sp_0005,risk_0005,True
sprs_0019,sp_0006,risk_0003,True
sprs_0020,sp_0006,risk_0004,True
sprs_0021,sp_0006,risk_0005,True
sprs_0022,sp_0007,risk_0003,True
sprs_0023,sp_0007,risk_0004,True
sprs_0024,sp_0007,risk_0005,True
sprs_0025,sp_0008,risk_0001,True
sprs_0026,sp_0008,risk_0002,True
sprs_0027,sp_0008,risk_0003,True
sprs_0028,sp_0008,risk_0004,True
sprs_0029,sp_0008,risk_0005,True
sprs_0030,sp_0009,risk_0001,True
sprs_0031,sp_0009,risk_0002,True
sprs_0032,sp_0009,risk_0003,True
sprs_0033,sp_0010,risk_0001,True
sprs_0034,sp_0010,risk_0002,True
sprs_0035,sp_0010,risk_0003,True
sprs_0036,sp_0011,risk_0002,True
sprs_0037,sp_0011,risk_0003,True
sprs_0038,sp_0011,risk_0004,True
sprs_0039,sp_0011,risk_0005,True
sprs_0040,sp_0012,risk_0001,True
sprs_0041,sp_0012,risk_0002,True
sprs_0042,sp_0012,risk_0003,True
sprs_0043,sp_0012,risk_0004,True
sprs_0044,sp_0012,risk_0005,True
sprs_0045,sp_0013,risk_0001,True
sprs_0046,sp_0013,risk_0002,True
sprs_0047,sp_0013,risk_0003,True
sprs_0048,sp_0013,risk_0004,True
sprs_0049,sp_0013,risk_0005,True
sprs_0050,sp_0014,risk_0003,True
sprs_0051,sp_0014,risk_0004,True
sprs_0052,sp_0014,risk_0005,True
sprs_0053,sp_0015,risk_0001,True
sprs_0054,sp_0015,risk_0002,True
sprs_0055,sp_0015,risk_0003,True
sprs_0056,sp_0015,risk_0004,True
sprs_0057,sp_0015,risk_0005,True
sprs_0058,sp_0016,risk_0001,True
sprs_0059,sp_0016,risk_0002,True
sprs_0060,sp_0016,risk_0003,True
sprs_0061,sp_0016,risk_0004,True
sprs_0062,sp_0016,risk_0005,True
