relation_id,support_program_id,target_group_id,is_active
spt_0001,sp_0001,tg_0002,True
spt_0002,sp_0001,tg_0003,True
spt_0003,sp_0001,tg_0004,True
spt_0004,sp_0002,tg_0002,True
spt_0005,sp_0002,tg_0003,True
spt_0006,sp_0002,tg_0004,True
spt_0007,sp_0003,tg_0003,True
spt_0008,sp_0003,tg_0004,True
spt_0009,sp_0004,tg_0002,True
spt_0010,sp_0004,tg_0003,True
spt_0011,sp_0004,tg_0004,True
spt_0012,sp_0005,tg_0003,True
spt_0013,sp_0005,tg_0004,True
spt_0014,sp_0006,tg_0003,True
spt_0015,sp_0006,tg_0004,True
spt_0016,sp_0007,tg_0003,True
spt_0017,sp_0007,tg_0004,True
spt_0018,sp_0008,tg_0001,True
spt_0019,sp_0008,tg_0002,True
spt_0020,sp_0008,tg_0003,True
spt_0021,sp_0008,tg_0004,True
spt_0022,sp_0009,tg_0001,True
spt_0023,sp_0009,tg_0002,True
spt_0024,sp_0010,tg_0001,True
spt_0025,sp_0010,tg_0002,True
spt_0026,sp_0011,tg_0002,True
spt_0027,sp_0011,tg_0003,True
spt_0028,sp_0011,tg_0004,True
spt_0029,sp_0012,tg_0001,True
spt_0030,sp_0012,tg_0002,True
spt_0031,sp_0012,tg_0003,True
spt_0032,sp_0012,tg_0004,True
spt_0033,sp_0013,tg_0001,True
spt_0034,sp_0013,tg_0002,True
spt_0035,sp_0013,tg_0003,True
spt_0036,sp_0013,tg_0004,True
spt_0037,sp_0014,tg_0003,True
spt_0038,sp_0014,tg_0004,True
spt_0039,sp_0015,tg_0005,True
spt_0040,sp_0016,tg_0005,True
