relation_id,raw_job_name,normalized_key,job_role_id,match_status,match_score,source_dataset,is_active
jobinfo_map_0001,가스ㆍ수도ㆍ전기 계기 검침원 및 안전점검원,가스_수도_전기_계기_검침원_및_안전점검원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0002,일기예보관,일기예보관,,unmapped,,job_info_rows,TRUE
jobinfo_map_0003,기상연구원,기상연구원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0004,물리학연구원,물리학연구원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0005,방사선사,방사선사,,unmapped,,job_info_rows,TRUE
jobinfo_map_0006,생물학연구원,생물학연구원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0007,수의사,수의사,,unmapped,,job_info_rows,TRUE
jobinfo_map_0008,수학연구원,수학연구원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0009,의료장비기사,의료장비기사,,unmapped,,job_info_rows,TRUE
jobinfo_map_0010,심리학연구원,심리학연구원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0011,안경사,안경사,,unmapped,,job_info_rows,TRUE
jobinfo_map_0012,약사 및 한약사,약사_및_한약사,,unmapped,,job_info_rows,TRUE
jobinfo_map_0013,유전공학연구원,유전공학연구원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0014,전문의사,전문의사,,unmapped,,job_info_rows,TRUE
jobinfo_map_0015,지리학연구원,지리학연구원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0016,지질학연구원,지질학연구원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0017,천문학연구원,천문학연구원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0018,측량사,측량사,,unmapped,,job_info_rows,TRUE
jobinfo_map_0019,치과기공사,치과기공사,,unmapped,,job_info_rows,TRUE
jobinfo_map_0020,치과의사,치과의사,,unmapped,,job_info_rows,TRUE
jobinfo_map_0021,통계학연구원,통계학연구원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0022,한의사,한의사,,unmapped,,job_info_rows,TRUE
jobinfo_map_0023,해부학연구원,해부학연구원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0024,해양학연구원,해양학연구원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0025,화학연구원,화학연구원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0026,가전제품 설치 및 수리원,가전제품_설치_및_수리원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0027,건설공사품질관리원,건설공사품질관리원,job_0039,auto_keyword,0.9300,job_info_rows,TRUE
jobinfo_map_0028,건축공학기술자,건축공학기술자,,unmapped,,job_info_rows,TRUE
jobinfo_map_0029,타이어 및 고무제품 생산직,타이어_및_고무제품_생산직,,unmapped,,job_info_rows,TRUE
jobinfo_map_0030,공작기계조작원,공작기계조작원,,unmapped,,job_info_rows,TRUE
jobinfo_map_0031,광원 및 채석원,광원_및_채석원,,unmapped,,job_info_rows,TRUE
