cert_id,cert_name,canonical_name,normalized_key,aliases,issuer,is_active,cert_type,grade_name,primary_domain,top_domain,domain_name_raw,source,written_avg_pass_rate,practical_avg_pass_rate,avg_pass_rate_3yr,cert_grade_tier,exam_difficulty,exam_type_info,exam_pass_rate,exam_frequency,exam_subject_info,exam_fee_info,exam_eligibility_info
cert_0001,용접기술사,용접기술사,용접기술사,,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,용접,qnet_major_list_2025,12.2,48.8,27.42,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 27.4%,연 2회,필기 + 실기 + 면접,,
cert_0002,금형기술사,금형기술사,금형기술사,,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,금형.공작기계,qnet_major_list_2025,38.8,39.95,28.73,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 28.7%,연 2회,필기 + 실기 + 면접,,
cert_0003,차량기술사,차량기술사,차량기술사,,Q-Net,True,국가기술자격,기술사,13,엔지니어링/산업기술,자동차,qnet_major_list_2025,24.05,18.7,21.5,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 21.5%,연 2회,필기 + 실기,,
cert_0004,산업기계설비기술사,산업기계설비기술사,산업기계설비기술사,,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,기계장비설비.설치,qnet_major_list_2025,46.4,47.4,39.4,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 39.4%,연 1회,필기 + 실기 + 면접,,
cert_0005,공조냉동기계기술사,공조냉동기계기술사,공조냉동기계기술사,,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,기계장비설비.설치,qnet_major_list_2025,10.066666666666666,35.63333333333333,24.22,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 24.2%,연 3회,필기 + 실기,,
cert_0006,건설기계기술사,건설기계기술사,건설기계기술사,,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,기계장비설비.설치,qnet_major_list_2025,11.45,43.75,32.03,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 32.0%,연 2회,필기 + 실기,,
cert_0007,금속제련기술사,금속제련기술사,금속제련기술사,,Q-Net,True,국가기술자격,기술사,7,엔지니어링/산업기술,금속.재료,qnet_major_list_2025,20.0,50.0,53.27,4_기술사,4.0,필기+실기+면접,최근 평균 합격률(종합): 53.3%,연 1회,필기 + 실기 + 면접,,
cert_0008,금속재료기술사,금속재료기술사,금속재료기술사,,Q-Net,True,국가기술자격,기술사,7,엔지니어링/산업기술,금속.재료,qnet_major_list_2025,33.9,34.5,20.0,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 44.3%,연 1회,필기 + 실기 + 면접,,
cert_0009,표면처리기술사,표면처리기술사,표면처리기술사,,Q-Net,True,국가기술자격,기술사,7,엔지니어링/산업기술,도장.도금,qnet_major_list_2025,12.5,50.0,63.87,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 31.5%,연 1회,필기 + 실기,,
cert_0010,금속가공기술사,금속가공기술사,금속가공기술사,,Q-Net,True,국가기술자격,기술사,7,엔지니어링/산업기술,금속.재료,qnet_major_list_2025,14.3,28.6,43.07,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 43.1%,연 1회,필기 + 실기 + 면접,,
cert_0011,화공기술사,화공기술사,화공기술사,,Q-Net,True,국가기술자격,기술사,8,엔지니어링/산업기술,화공,qnet_major_list_2025,12.8,58.3,34.2,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 36.1%,연 1회,필기 + 실기,,
