cert_id,cert_name,canonical_name,normalized_key,aliases,issuer,is_active,cert_type,grade_name,primary_domain,top_domain,domain_name_raw,source,written_avg_pass_rate,practical_avg_pass_rate,avg_pass_rate_3yr
1,용접기술사,용접기술사,용접기술사,,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,용접,qnet_major_list_2025,12.2,48.8,27.42
2,금형기술사,금형기술사,금형기술사,,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,금형.공작기계,qnet_major_list_2025,38.8,39.95,28.73
3,차량기술사,차량기술사,차량기술사,,Q-Net,True,국가기술자격,기술사,13,엔지니어링/산업기술,자동차,qnet_major_list_2025,24.05,18.7,21.5
4,산업기계설비기술사,산업기계설비기술사,산업기계설비기술사,,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,기계장비설비.설치,qnet_major_list_2025,46.4,47.4,39.4
5,공조냉동기계기술사,공조냉동기계기술사,공조냉동기계기술사,,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,기계장비설비.설치,qnet_major_list_2025,10.066666666666666,35.63333333333333,24.22
6,건설기계기술사,건설기계기술사,건설기계기술사,,Q-Net,True,국가기술자격,기술사,6,엔지니어링/산업기술,기계장비설비.설치,qnet_major_list_2025,11.45,43.75,32.03
7,금속제련기술사,금속제련기술사,금속제련기술사,,Q-Net,True,국가기술자격,기술사,7,엔지니어링/산업기술,금속.재료,qnet_major_list_2025,20.0,50.0,53.27
8,금속재료기술사,금속재료기술사,금속재료기술사,,Q-Net,True,국가기술자격,기술사,7,엔지니어링/산업기술,금속.재료,qnet_major_list_2025,33.9,34.5,20.0
9,표면처리기술사,표면처리기술사,표면처리기술사,,Q-Net,True,국가기술자격,기술사,7,엔지니어링/산업기술,도장.도금,qnet_major_list_2025,12.5,50.0,63.87
10,금속가공기술사,금속가공기술사,금속가공기술사,,Q-Net,True,국가기술자격,기술사,7,엔지니어링/산업기술,금속.재료,qnet_major_list_2025,14.3,28.6,43.07
11,화공기술사,화공기술사,화공기술사,,Q-Net,True,국가기술자격,기술사,8,엔지니어링/산업기술,화공,qnet_major_list_2025,12.8,58.3,34.2
12,발송배전기술사,발송배전기술사,발송배전기술사,,Q-Net,True,국가기술자격,기술사,5,엔지니어링/산업기술,전기,qnet_major_list_2025,1.3999999999999997,40.13333333333333,1.87
13,전기응용기술사,전기응용기술사,전기응용기술사,,Q-Net,True,국가기술자격,기술사,5,엔지니어링/산업기술,전기,qnet_major_list_2025,4.6,51.8,26.2
14,철도신호기술사,철도신호기술사,철도신호기술사,,Q-Net,True,국가기술자격,기술사,5,엔지니어링/산업기술,전기,qnet_major_list_2025,11.1,68.75,80.5
15,산업계측제어기술사,산업계측제어기술사,산업계측제어기술사,,Q-Net,True,국가기술자격,기술사,5,엔지니어링/산업기술,전자,qnet_major_list_2025,22.4,37.5,35.37
16,전자응용기술사,전자응용기술사,전자응용기술사,,Q-Net,True,국가기술자격,기술사,5,엔지니어링/산업기술,전자,qnet_major_list_2025,7.1,50.0,64.27
17,조선기술사,조선기술사,조선기술사,,Q-Net,True,국가기술자격,기술사,41,모빌리티/운송,조선,qnet_major_list_2025,44.8,42.1,28.93
18,항공기체기술사,항공기체기술사,항공기체기술사,,Q-Net,True,국가기술자격,기술사,42,모빌리티/운송,항공,qnet_major_list_2025,27.3,28.6,36.78
19,항공기관기술사,항공기관기술사,항공기관기술사,,Q-Net,True,국가기술자격,기술사,42,모빌리티/운송,항공,qnet_major_list_2025,55.6,25.0,56.1
20,토질및기초기술사,토질및기초기술사,토질및기초기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,7.6,47.26666666666667,31.25
21,토목구조기술사,토목구조기술사,토목구조기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,5.466666666666666,70.63333333333334,67.03
22,항만및해안기술사,항만및해안기술사,항만및해안기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,6.3,66.7,25.3
23,도로및공항기술사,도로및공항기술사,도로및공항기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,6.3,57.13333333333333,62.7
24,철도기술사,철도기술사,철도기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,6.933333333333333,96.3,14.3
25,철도차량기술사,철도차량기술사,철도차량기술사,,Q-Net,True,국가기술자격,기술사,40,모빌리티/운송,철도,qnet_major_list_2025,30.65,63.35,42.1
26,전기철도기술사,전기철도기술사,전기철도기술사,,Q-Net,True,국가기술자격,기술사,5,엔지니어링/산업기술,전기,qnet_major_list_2025,8.5,50.0,17.77
27,수자원개발기술사,수자원개발기술사,수자원개발기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,8.299999999999999,51.45,42.83
28,상하수도기술사,상하수도기술사,상하수도기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,4.866666666666667,44.36666666666667,30.6
29,농어업토목기술사,농어업토목기술사,농어업토목기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,24.05,62.25,46.15
30,토목시공기술사,토목시공기술사,토목시공기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,7.6,64.53333333333333,59.63
31,토목품질시험기술사,토목품질시험기술사,토목품질시험기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,7.699999999999999,66.7,35.03
32,건축구조기술사,건축구조기술사,건축구조기술사,,Q-Net,True,국가기술자격,기술사,10,엔지니어링/산업기술,건축,qnet_major_list_2025,2.3666666666666667,47.16666666666666,26.8
33,건축기술사(건축설비),건축기술사(건축설비),건축기술사(건축설비),,Q-Net,True,국가기술자격,기술사,10,엔지니어링/산업기술,건축,qnet_major_list_2025,,,33.0
34,건축기계설비기술사,건축기계설비기술사,건축기계설비기술사,,Q-Net,True,국가기술자격,기술사,10,엔지니어링/산업기술,건축,qnet_major_list_2025,6.333333333333333,41.13333333333333,29.13
