자격증명,자격증ID,자격증_분류,자격증_등급_코드,등급_분류,2022년 1차 응시자 수,2022년 1차 합격률,2022년 2차 응시자수,2022년 2차 합격률,2022년 3차 응시자수,2022년 3차 합격률,2023년 1차 응시자 수,2023년 1차 합격률,2023년 2차 응시자 수,2023년 2차 합격률,2023년 3차 응시자 수,2023년 3차 합격률,2024년 1차 응시자 수,2024년 1차 합격률,2024년 2차 응시자 수,2024년 2차 합격률,2024년 3차 응시자 수,2024년 3차 합격률,검정 횟수,시험종류,필기,실기,면접,총합,난이도,비고,비고2
CS Leaders(관리사),M003,국가민간자격,1,공인,9382,58.69,,,,,9431,58.29,,,,,,,,,,,12,필기+면접,1,0,1,2,2,,
ERP물류정보관리사 1급,M004,국가민간자격,1,공인,1716,57.52,,,,,1423,33.1,,,,,1324,37.24,,,,,6,필기+실기,1,1,0,2,4,,
ERP물류정보관리사 2급,M005,국가민간자격,1,공인,3554,77.74,,,,,2977,67.55,,,,,2768,68.03,,,,,6,필기+실기,1,1,0,2,2,,
ERP생산정보관리사 1급,M006,국가민간자격,1,공인,1419,68.36,,,,,1046,59.27,,,,,920,61.3,,,,,6,필기+실기,1,1,0,2,2,,
ERP생산정보관리사 2급,M007,국가민간자격,1,공인,3013,85.56,,,,,2008,76.1,,,,,1805,83.77,,,,,6,필기+실기,1,1,0,2,1,,
ERP인사정보관리사 1급,M008,국가민간자격,1,공인,3904,49.97,,,,,3508,46.38,,,,,3725,46.71,,,,,6,필기+실기,1,1,0,2,4,,
ERP인사정보관리사 2급,M009,국가민간자격,1,공인,6274,72.76,,,,,5550,65.98,,,,,5128,67,,,,,6,필기+실기,1,1,0,2,2,,
ERP회계정보관리사 1급,M010,국가민간자격,1,공인,3596,47.44,,,,,3222,51.46,,,,,2612,52.37,,,,,6,필기+실기,1,1,0,2,3,,
ERP회계정보관리사 2급,M011,국가민간자격,1,공인,6797,82.71,,,,,6020,77.89,,,,,5423,81.28,,,,,6,필기+실기,1,1,0,2,1,,
FLEX독일어,M012,국가민간자격,1,공인,844,93.36,,,,,841,89.89,,,,,778,92.03,,,,,2,필기+실기,1,1,0,2,1,한국외대에서 주최하는 시험이라 빼도 될것같은데 일단 냄겨둠,
FLEX러시아어,M013,국가민간자격,1,공인,609,91.3,,,,,601,90.02,,,,,614,88.6,,,,,2,필기+실기,1,1,0,2,1,,
FLEX스페인어,M014,국가민간자격,1,공인,1400,90.5,,,,,1559,92.5,,,,,1555,92.35,,,,,2,필기+실기,1,1,0,2,1,,
FLEX영어,M015,국가민간자격,1,공인,516,93.22,,,,,442,89.82,,,,,373,93.3,,,,,2,필기+실기,1,1,0,2,1,,
FLEX일본어,M016,국가민간자격,1,공인,678,95.28,,,,,706,94.9,,,,,373,93.3,,,,,2,필기+실기,1,1,0,2,1,,
FLEX중국어,M017,국가민간자격,1,공인,804,94.15,,,,,653,89.43,,,,,698,86.82,,,,,2,필기+실기,1,1,0,2,1,,
FLEX프랑스어,M018,국가민간자격,1,공인,548,97.45,,,,,615,96.91,,,,,604,94.7,,,,,2,필기+실기,1,1,0,2,1,,
GTQi(그래픽기술자격 일러스트) 1급,M019,국가민간자격,2,부분공인,13647,60.95,,,,,15483,58.27,,,,,15502,48.41,,,,,12,실기,0,1,0,1,3,,
GTQi(그래픽기술자격 일러스트) 2급,M020,국가민간자격,2,부분공인,3348,76.97,,,,,3717,72.5,,,,,3568,73.96,,,,,12,실기,0,1,0,1,1,,
GTQi(그래픽기술자격 일러스트) 3급,M021,국가민간자격,2,부분공인,623,82.83,,,,,607,75.78,,,,,401,68.58,,,,,12,실기,0,1,0,1,1,,
IEQ 2급(인터넷윤리자격),M022,국가민간자격,2,부분공인 지도사,0,0,,,,,0,0,,,,,0,0,,,,,4,필기,1,0,0,1,3,,
IEQ 3급(인터넷윤리자격),M023,국가민간자격,2,부분공인 지도사,223,99.55,,,,,0,0,,,,,0,0,,,,,4,필기,1,0,0,1,2,,
IEQ 지도사(인터넷윤리자격),M024,국가민간자격,2,공인,362,67.13,,,,,534,77.53,,,,,619,68.98,,,,,4,필기,1,0,0,1,1,,
KBS한국어능력시험 1급,M025,국가민간자격,2,"부분공인 1급, 2+급, 2-급, 3+급, 3-급, 4+급",30669,0.77,,,,,21493,1.19,,,,,23242,1.18,,,,,6,필기,1,0,0,1,5,,
KBS한국어능력시험 2+급,M026,국가민간자격,2,"부분공인 1급, 2+급, 2-급, 3+급, 3-급, 4+급",30669,2.3,,,,,21493,2.63,,,,,23242,2.87,,,,,6,필기,1,0,0,1,5,,
KBS한국어능력시험 2-급,M027,국가민간자격,2,"부분공인 1급, 2+급, 2-급, 3+급, 3-급, 4+급",30669,4.7,,,,,21493,6.43,,,,,23242,7.37,,,,,6,필기,1,0,0,1,5,,
KBS한국어능력시험 3+급,M028,국가민간자격,2,"부분공인 1급, 2+급, 2-급, 3+급, 3-급, 4+급",30669,11.37,,,,,21493,14.66,,,,,23242,14.74,,,,,6,필기,1,0,0,1,5,,
KBS한국어능력시험 3-급,M029,국가민간자격,2,"부분공인 1급, 2+급, 2-급, 3+급, 3-급, 4+급",30669,14.32,,,,,21493,14.91,,,,,23242,13.54,,,,,6,필기,1,0,0,1,5,,
KBS한국어능력시험 4+급,M030,국가민간자격,2,"부분공인 1급, 2+급, 2-급, 3+급, 3-급, 4+급",30669,27.16,,,,,21493,27.03,,,,,23242,25.76,,,,,6,필기,1,0,0,1,4,,
PC Master,M031,국가민간자격,1,공인,303,89.11,,,,,188,81.38,,,,,,,,,,,6,필기+실기,1,1,0,2,1,,
PC정비사 1급,M032,국가민간자격,1,"공인 1급, 2급",2350,55.7,,,,,2480,55.8,,,,,2610,54.4,,,,,6,필기+실기,1,1,0,2,3,,
PC정비사 2급,M033,국가민간자격,1,"공인 1급, 2급",5830,61,,,,,6210,60.4,,,,,6540,59.1,,,,,6,필기+실기,1,1,0,2,3,,
RFID기술자격검정 GL,M034,국가민간자격,1,"공인 RFID-GL, RFID-SL",52,55.77,,,,,62,54.84,,,,,48,56.25,,,,,2,필기+실기,1,1,0,2,2,,
RFID기술자격검정 SL,M035,국가민간자격,1,"공인 RFID-GL, RFID-SL",4,25,,,,,1,100,,,,,0,0,,,,,2,필기+실기,1,1,0,2,2,,
SMAT(서비스경영자격) 1급(컨설턴트),M036,국가민간자격,1,"공인 1급(컨설턴트), 2급(관리자), 3급(실무자)",6168,50.54,,,,,7099,46.94,,,,,9161,48.24,,,,,8,필기+면접,1,0,1,2,3,,
SMAT(서비스경영자격) 2급(관리자),M037,국가민간자격,1,"공인 1급(컨설턴트), 2급(관리자), 3급(실무자)",7122,60,,,,,8076,62.8,,,,,9919,64.77,,,,,8,필기+면접,1,0,1,2,2,,
SMAT(서비스경영자격) 3급(실무자),M038,국가민간자격,1,"공인 1급(컨설턴트), 2급(관리자), 3급(실무자)",13666,65.1,,,,,13901,67.51,,,,,15539,67.14,,,,,8,필기+면접,1,0,1,2,2,,
SQL전문가(SQLP),M039,국가민간자격,1,"공인 전문가, 개발자",2010,20.4,,,,,2180,19.9,,,,,2340,20,,,,,2,필기,1,0,0,1,4,,
SQL개발자(SQLD),M040,국가민간자격,1,"공인 전문가, 개발자",9850,47.9,,,,,10420,47.8,,,,,11000,47,,,,,4,필기,1,0,0,1,2,,
개인보험심사역,M041,국가민간자격,1,공인,948,27.95,,,,,997,24.17,,,,,1021,31.73,,,,,2,필기,1,,,1,4,,
