jobdicSeq,직업명,학과명,자격증명,자격증ID,jobID
1,가스ㆍ수도ㆍ전기 계기 검침원 및 안전점검원,,,,1
5,일기예보관,"대기과학과, 천문학과",기상예보기술사,T296,2
5,일기예보관,"대기과학과, 천문학과",기상기사,T295,3
6,기상연구원,"대기과학과, 천문학과",기상예보기술사,T296,4
6,기상연구원,"대기과학과, 천문학과",기상기사,T295,5
8,물리학연구원,"물리학과, 지구환경과학과",,,6
10,방사선사,방사선과,방사선사,S118,7
13,생물학연구원,생물학과,,,8
15,수의사,"동물자원학과, 생물학과, 수의학과",수의사,,9
17,수학연구원,"수학과, 통계학과",,,10
19,의료장비기사,"메카트로닉스공학과, 의료보장구과, 의료정보공학과, 의료정보시스템과, 전기공학과, 전기전자공학과",,,11
20,심리학연구원,심리학과,,,12
21,안경사,"광학공학과, 안경광학과",안경사,S178,13
23,약사 및 한약사,"약학부, 한약학과","약사, 한약사",,14
24,유전공학연구원,"생명과학과, 유전공학과",생물공학기사,,15
29,지리학연구원,지리학과,,,16
30,지질학연구원,"지구정보공학과, 지질학과",응용지질기사,T551,17
30,지질학연구원,"지구정보공학과, 지질학과",지질 및 지반 기술사,,18
31,천문학연구원,"대기과학과, 우주과학과, 천문학과",,,19
32,측량사,"건축공학과, 건축과, 건축학과, 기계공학과, 도시공학과, 물리학과, 수학과, 지구정보공학과, 지구환경과학과, 지리학과, 지적과, 지적학과, 천문학과, 측지정보과, 토목공학과, 통계학과",측량및지형공간정보산업기사,T070,20
32,측량사,"건축공학과, 건축과, 건축학과, 기계공학과, 도시공학과, 물리학과, 수학과, 지구정보공학과, 지구환경과학과, 지리학과, 지적과, 지적학과, 천문학과, 측지정보과, 토목공학과, 통계학과",측량및지형공간정보기사,T068,21
32,측량사,"건축공학과, 건축과, 건축학과, 기계공학과, 도시공학과, 물리학과, 수학과, 지구정보공학과, 지구환경과학과, 지리학과, 지적과, 지적학과, 천문학과, 측지정보과, 토목공학과, 통계학과",측량및지형공간정보기술사,T069,22
32,측량사,"건축공학과, 건축과, 건축학과, 기계공학과, 도시공학과, 물리학과, 수학과, 지구정보공학과, 지구환경과학과, 지리학과, 지적과, 지적학과, 천문학과, 측지정보과, 토목공학과, 통계학과",측량기능사,T067,23
36,통계학연구원,"수학과, 통계학과",정보처리기능사,T650,24
36,통계학연구원,"수학과, 통계학과",정보처리산업기사,T652,25
36,통계학연구원,"수학과, 통계학과",정보처리기사,T651,26
36,통계학연구원,"수학과, 통계학과",사회조사분석사1급,T400,27
36,통계학연구원,"수학과, 통계학과",사회조사분석사2급,T401,28
38,해부학연구원,"생물학과, 생화학과, 수의학과",,,29
39,해양학연구원,"해양공학과, 해양시스템학과, 해양자원학과",,,30
40,화학연구원,"생화학과, 화학공학과, 화학과",,,31
41,가전제품 설치 및 수리원,"전기공학과, 전기과, 전기전자공학과, 전기전자과, 전자공학과, 전자과",전기응용기술사,T611,32
41,가전제품 설치 및 수리원,"전기공학과, 전기과, 전기전자공학과, 전기전자과, 전자공학과, 전자과",전기산업기사,T609,33
41,가전제품 설치 및 수리원,"전기공학과, 전기과, 전기전자공학과, 전기전자과, 전자공학과, 전자과",전기기사,T607,34
41,가전제품 설치 및 수리원,"전기공학과, 전기과, 전기전자공학과, 전기전자과, 전자공학과, 전자과",전자기능사,T630,35
41,가전제품 설치 및 수리원,"전기공학과, 전기과, 전기전자공학과, 전기전자과, 전자공학과, 전자과",전자산업기사,T635,36
41,가전제품 설치 및 수리원,"전기공학과, 전기과, 전기전자공학과, 전기전자과, 전자공학과, 전자과",전자기사,T632,37
41,가전제품 설치 및 수리원,"전기공학과, 전기과, 전기전자공학과, 전기전자과, 전자공학과, 전자과",전자기능장,T631,38
41,가전제품 설치 및 수리원,"전기공학과, 전기과, 전기전자공학과, 전기전자과, 전자공학과, 전자과",전자응용기술사,T639,39
42,건설공사품질관리원,"건축공학과, 건축과, 건축학과, 도시건설과, 토목공학과, 토목과",건축품질시험기술사,T231,40
42,건설공사품질관리원,"건축공학과, 건축과, 건축학과, 도시건설과, 토목공학과, 토목과",건설재료시험기능사,T211,41
42,건설공사품질관리원,"건축공학과, 건축과, 건축학과, 도시건설과, 토목공학과, 토목과",건설재료시험산업기사,T213,42
42,건설공사품질관리원,"건축공학과, 건축과, 건축학과, 도시건설과, 토목공학과, 토목과",토목품질시험기술사,T101,43
42,건설공사품질관리원,"건축공학과, 건축과, 건축학과, 도시건설과, 토목공학과, 토목과",건설재료시험기사,T212,44
46,건축공학기술자,"건축공학과, 건축과, 건축학과",건축산업기사,T223,45
46,건축공학기술자,"건축공학과, 건축과, 건축학과",건축기사,T217,46
46,건축공학기술자,"건축공학과, 건축과, 건축학과",건축구조기술사,T214,47
46,건축공학기술자,"건축공학과, 건축과, 건축학과",건축설비산업기사,T226,48
46,건축공학기술자,"건축공학과, 건축과, 건축학과",건축설비기사,T225,49
46,건축공학기술자,"건축공학과, 건축과, 건축학과",건축사,S274,50
46,건축공학기술자,"건축공학과, 건축과, 건축학과",건축일반시공산업기사,T229,51
46,건축공학기술자,"건축공학과, 건축과, 건축학과",건축일반시공기능장,T228,52
46,건축공학기술자,"건축공학과, 건축과, 건축학과",건축시공기술사,T227,53
46,건축공학기술자,"건축공학과, 건축과, 건축학과",건축목공산업기사,T221,54
46,건축공학기술자,"건축공학과, 건축과, 건축학과",건축목재시공기능장,T222,55
47,타이어 및 고무제품 생산직,"기계과, 화학공업과, 화학과",,,56
48,공작기계조작원,"기계공학과, 기계설계공학과",컴퓨터응용선반기능사,T087,57
48,공작기계조작원,"기계공학과, 기계설계공학과",컴퓨터응용밀링기능사,T086,58
48,공작기계조작원,"기계공학과, 기계설계공학과",공작기계절삭가공사,,59
49,광원 및 채석원,,화약취급기능사,T177,60
49,광원 및 채석원,,화약류관리산업기사,T174,61
49,광원 및 채석원,,화약류관리기사,T172,62
49,광원 및 채석원,,화약류관리기술사,T173,63
49,광원 및 채석원,,광산보안기능사,T245,64
49,광원 및 채석원,,광산보안산업기사,T240,65
49,광원 및 채석원,,광산보안기사,T247,66
50,제화원,,신발제조기능사,T491,67
52,금속가공장치조작원,"금속공학과, 신소재공학과, 신소재응용과, 재료공학과, 재료과, 제철금속과",제선기능사,T666,68
52,금속가공장치조작원,"금속공학과, 신소재공학과, 신소재응용과, 재료공학과, 재료과, 제철금속과",제선기능장,T667,69
52,금속가공장치조작원,"금속공학과, 신소재공학과, 신소재응용과, 재료공학과, 재료과, 제철금속과",제강기능사,T657,70
52,금속가공장치조작원,"금속공학과, 신소재공학과, 신소재응용과, 재료공학과, 재료과, 제철금속과",제강기능장,T658,71
53,금속공학기술자,"금속공학과, 신소재공학과, 재료공학과, 제철금속과",금속재료시험기능사,T277,72
53,금속공학기술자,"금속공학과, 신소재공학과, 재료공학과, 제철금속과",금속재료산업기사,T276,73
53,금속공학기술자,"금속공학과, 신소재공학과, 재료공학과, 제철금속과",금속기사,,74
53,금속공학기술자,"금속공학과, 신소재공학과, 재료공학과, 제철금속과",금속재료기능장,T272,75
53,금속공학기술자,"금속공학과, 신소재공학과, 재료공학과, 제철금속과",금속재료기술사,T275,76
53,금속공학기술자,"금속공학과, 신소재공학과, 재료공학과, 제철금속과",주조기능장,T022,77
53,금속공학기술자,"금속공학과, 신소재공학과, 재료공학과, 제철금속과",주조산업기사,T023,78
53,금속공학기술자,"금속공학과, 신소재공학과, 재료공학과, 제철금속과",주조기능사,T021,79
53,금속공학기술자,"금속공학과, 신소재공학과, 재료공학과, 제철금속과",금속가공기술사,T270,80
53,금속공학기술자,"금속공학과, 신소재공학과, 재료공학과, 제철금속과",원형기능사,,81
53,금속공학기술자,"금속공학과, 신소재공학과, 재료공학과, 제철금속과",열처리기능사,T520,82
54,금형원,"금속공학과, 금형설계과, 기계공학과, 기계과, 신소재공학과, 안경광학과, 제어계측공학과",금형기술사,T283,83
54,금형원,"금속공학과, 금형설계과, 기계공학과, 기계과, 신소재공학과, 안경광학과, 제어계측공학과",금형제작기능장,,84
54,금형원,"금속공학과, 금형설계과, 기계공학과, 기계과, 신소재공학과, 안경광학과, 제어계측공학과",금형기능사,T280,85
54,금형원,"금속공학과, 금형설계과, 기계공학과, 기계과, 신소재공학과, 안경광학과, 제어계측공학과",사출금형산업기사,T398,86
54,금형원,"금속공학과, 금형설계과, 기계공학과, 기계과, 신소재공학과, 안경광학과, 제어계측공학과",프레스금형산업기사,T134,87
54,금형원,"금속공학과, 금형설계과, 기계공학과, 기계과, 신소재공학과, 안경광학과, 제어계측공학과",사출금형설계기사,,88
54,금형원,"금속공학과, 금형설계과, 기계공학과, 기계과, 신소재공학과, 안경광학과, 제어계측공학과",프레스금형설계기사,,89
56,기계공학 기술자ㆍ연구원,"기계공학과, 기계설계공학과, 자동차공학과",건설기계기술사,T200,90
56,기계공학 기술자ㆍ연구원,"기계공학과, 기계설계공학과, 자동차공학과",기계기술사,T287,91
56,기계공학 기술자ㆍ연구원,"기계공학과, 기계설계공학과, 자동차공학과",건설기계산업기사,,92
56,기계공학 기술자ㆍ연구원,"기계공학과, 기계설계공학과, 자동차공학과",건설기계기사,,93
56,기계공학 기술자ㆍ연구원,"기계공학과, 기계설계공학과, 자동차공학과",농업기계산업기사,T308,94
56,기계공학 기술자ㆍ연구원,"기계공학과, 기계설계공학과, 자동차공학과",농업기계기사,T307,95
56,기계공학 기술자ㆍ연구원,"기계공학과, 기계설계공학과, 자동차공학과",기계설계산업기사,T290,96
56,기계공학 기술자ㆍ연구원,"기계공학과, 기계설계공학과, 자동차공학과",기계설계제도사,,97
57,섬유공학기술자,"섬유공학과, 신소재공학과, 신소재응용과, 의류ㆍ의상학과, 재료공학과",섬유기술사,T431,98
57,섬유공학기술자,"섬유공학과, 신소재공학과, 신소재응용과, 의류ㆍ의상학과, 재료공학과",섬유디자인산업기사,T432,99
57,섬유공학기술자,"섬유공학과, 신소재공학과, 신소재응용과, 의류ㆍ의상학과, 재료공학과",의류기사,T556,100
57,섬유공학기술자,"섬유공학과, 신소재공학과, 신소재응용과, 의류ㆍ의상학과, 재료공학과",의류기술사,T558,101
57,섬유공학기술자,"섬유공학과, 신소재공학과, 신소재응용과, 의류ㆍ의상학과, 재료공학과",섬유산업기사,T433,102
57,섬유공학기술자,"섬유공학과, 신소재공학과, 신소재응용과, 의류ㆍ의상학과, 재료공학과",섬유기사,T430,103
58,냉동기사,,공조냉동기계산업기사,T243,104
58,냉동기사,,공조냉동기계기능사,T239,105
58,냉동기사,,공조냉동기계기사,T241,106
58,냉동기사,,공조냉동기계기술사,T242,107
59,녹음기사,"방송제작과, 음향제작과",,,108
61,대기환경기술자,"대기과학과, 환경공학과, 환경과학과, 환경보건학과",대기환경산업기사,T317,109
61,대기환경기술자,"대기과학과, 환경공학과, 환경과학과, 환경보건학과",대기환경기사,T316,110
61,대기환경기술자,"대기과학과, 환경공학과, 환경과학과, 환경보건학과",대기관리기술사,T313,111
63,도배원,"건축공학과, 금형설계과, 산업설비자동화과",도배기능사,T319,112
64,도자기제조원,"공예과, 공예디자인학과, 공예학과, 도자기공예과, 도자기공예학과",도자공예기능사,T325,113
