domain_sub_label_id,domain_sub_label_name,domain_top_label_name,normalized_key,is_active
domain_건축,건축,건축,건축,TRUE
domain_교육,교육,교육,교육,TRUE
domain_기계,기계,기계,기계,TRUE
domain_기타,기타,기타,기타,TRUE
domain_농업,농업,농업,농업,TRUE
domain_디자인,디자인,디자인,디자인,TRUE
domain_방송,방송,방송,방송,TRUE
domain_비파괴검사,비파괴검사,비파괴검사,비파괴검사,TRUE
domain_생산관리,생산관리,생산관리,생산관리,TRUE
domain_서비스,서비스,서비스,서비스,TRUE
domain_식품,식품,식품,식품,TRUE
domain_에너지,에너지,에너지,에너지,TRUE
domain_용접,용접,용접,용접,TRUE
domain_위험물,위험물,위험물,위험물,TRUE
domain_의복,의복,의복,의복,TRUE
domain_자동차,자동차,자동차,자동차,TRUE
domain_재료,재료,재료,재료,TRUE
domain_전기,전기,전기,전기,TRUE
domain_전자,전자,전자,전자,TRUE
domain_정보통신,정보통신,정보통신,정보통신,TRUE
domain_조경,조경,조경,조경,TRUE
domain_조리,조리,조리,조리,TRUE
domain_채광,채광,채광,채광,TRUE
domain_철도,철도,철도,철도,TRUE
domain_축산,축산,축산,축산,TRUE
domain_토목,토목,토목,토목,TRUE
domain_통신,통신,통신,통신,TRUE
domain_항공,항공,항공,항공,TRUE
domain_화공,화공,화공,화공,TRUE
domain_화학,화학,화학,화학,TRUE
domain_환경,환경,환경,환경,TRUE
