major_code,major_name,domain_sub_code_raw,domain_sub_name_raw,domain_main_code_raw,domain_main_name_raw,major_id,domain_label_candidate,source
1001,3D모델링·설계,161,기계제작,16,기계,major_qnet_1001,기계,qnet_udept_oblig_list
1002,3D애니메이션,082,디자인,8,문화·예술·디자인·방송,major_qnet_1002,디자인,qnet_udept_oblig_list
1003,특수영상디자인,082,디자인,8,문화·예술·디자인·방송,major_qnet_1003,디자인,qnet_udept_oblig_list
1004,가공식품학과,131,조리,13,음식서비스,major_qnet_1004,조리,qnet_udept_oblig_list
1005,가공학과,131,조리,13,음식서비스,major_qnet_1005,조리,qnet_udept_oblig_list
1006,가구디자인(과·전공·학과),082,디자인,8,문화·예술·디자인·방송,major_qnet_1006,디자인,qnet_udept_oblig_list
1007,가구실내디자인과,082,디자인,8,문화·예술·디자인·방송,major_qnet_1007,디자인,qnet_udept_oblig_list
1008,가구·제품디자인전공,024,생산관리,2,경영·회계·사무,major_qnet_1008,생산관리,qnet_udept_oblig_list
1009,가구전공,082,디자인,8,문화·예술·디자인·방송,major_qnet_1009,디자인,qnet_udept_oblig_list
1010,가정관리·의류학과군,082,디자인,8,문화·예술·디자인·방송,major_qnet_1010,디자인,qnet_udept_oblig_list
1011,가정관리학과,131,조리,13,음식서비스,major_qnet_1011,조리,qnet_udept_oblig_list
1012,가정주거학과,141,건축,14,건설,major_qnet_1012,건축,qnet_udept_oblig_list
1013,가족주거학전공,082,디자인,8,문화·예술·디자인·방송,major_qnet_1013,디자인,qnet_udept_oblig_list
1014,감성섬유·의류마케팅계열,082,디자인,8,문화·예술·디자인·방송,major_qnet_1014,디자인,qnet_udept_oblig_list
1015,감성섬유패션전공,082,디자인,8,문화·예술·디자인·방송,major_qnet_1015,디자인,qnet_udept_oblig_list
1016,감성정보계열,192,의복,19,섬유·의복,major_qnet_1016,의복,qnet_udept_oblig_list
1017,건강관리학과,061,보건·의료,6,보건·의료,major_qnet_1017,기타,qnet_udept_oblig_list
1018,건강기능식품학과,131,조리,13,음식서비스,major_qnet_1018,조리,qnet_udept_oblig_list
1019,건강다이어트(학)과,131,조리,13,음식서비스,major_qnet_1019,조리,qnet_udept_oblig_list
1020,건강생명정보학부,181,화공,18,화학,major_qnet_1020,화공,qnet_udept_oblig_list
1021,건강스포츠학과,251,안전관리,25,안전관리,major_qnet_1021,기타,qnet_udept_oblig_list
1022,건강식품가공과,131,조리,13,음식서비스,major_qnet_1022,조리,qnet_udept_oblig_list
1023,건강식품개발과,131,조리,13,음식서비스,major_qnet_1023,조리,qnet_udept_oblig_list
1024,건강식품과학과,131,조리,13,음식서비스,major_qnet_1024,조리,qnet_udept_oblig_list
1025,건강·영양조리학과,131,조리,13,음식서비스,major_qnet_1025,조리,qnet_udept_oblig_list
1026,건강자원개발과,241,농업,24,농림어업,major_qnet_1026,농업,qnet_udept_oblig_list
1027,건물관리과,141,건축,14,건설,major_qnet_1027,건축,qnet_udept_oblig_list
1028,건설·건축계열,141,건축,14,건설,major_qnet_1028,건축,qnet_udept_oblig_list
1029,건설·응용화학공학계열,141,건축,14,건설,major_qnet_1029,건축,qnet_udept_oblig_list
1030,건설·환경·화학공학과군,141,건축,14,건설,major_qnet_1030,건축,qnet_udept_oblig_list
1031,건설계열건설전공,141,건축,14,건설,major_qnet_1031,건축,qnet_udept_oblig_list
1032,건설계열학과군,141,건축,14,건설,major_qnet_1032,건축,qnet_udept_oblig_list
1033,건설공간디자인과,082,디자인,8,문화·예술·디자인·방송,major_qnet_1033,디자인,qnet_udept_oblig_list
1034,건설공학(과·과군·학부·전공·계열),141,건축,14,건설,major_qnet_1034,건축,qnet_udept_oblig_list
1035,건설관리계열,141,건축,14,건설,major_qnet_1035,건축,qnet_udept_oblig_list
1036,건설관리시스템전공,141,건축,14,건설,major_qnet_1036,건축,qnet_udept_oblig_list
1037,건설교통공학(계열·과·부),141,건축,14,건설,major_qnet_1037,건축,qnet_udept_oblig_list
1038,건설교통과,141,건축,14,건설,major_qnet_1038,건축,qnet_udept_oblig_list
1039,건설교통정보과,082,디자인,8,문화·예술·디자인·방송,major_qnet_1039,디자인,qnet_udept_oblig_list
1040,건설기계전공,141,건축,14,건설,major_qnet_1040,건축,qnet_udept_oblig_list
1041,건설농업기계전공,141,건축,14,건설,major_qnet_1041,건축,qnet_udept_oblig_list
1042,건설도시공학(과·부·학부),141,건축,14,건설,major_qnet_1042,건축,qnet_udept_oblig_list
1043,건설도시환경공학부,141,건축,14,건설,major_qnet_1043,건축,qnet_udept_oblig_list
1044,건설디자인계열,141,건축,14,건설,major_qnet_1044,건축,qnet_udept_oblig_list
1045,건설리모델링과,141,건축,14,건설,major_qnet_1045,건축,qnet_udept_oblig_list
1046,건설산업과,141,건축,14,건설,major_qnet_1046,건축,qnet_udept_oblig_list
