udeptcd,udeptnm,udeptmdobligcd,udeptmdoblignm,udeptobligcd,udeptoblignm
1001,3D모델링/설계(과ㆍ전공),161,기계제작,16,기계
1002,"3D애니메이션(과,전공)",082,디자인,8,문화.예술.디자인.방송
1003,특수영상디자인(과ㆍ전공),082,디자인,8,문화.예술.디자인.방송
1004,가공식품학과,131,조리,13,음식서비스
1004,가공식품학과,221,식품,22,식품.가공
1005,가공학과,131,조리,13,음식서비스
1005,가공학과,221,식품,22,식품.가공
1006,"가구디자인(과,전공,학과)",082,디자인,8,문화.예술.디자인.방송
1006,"가구디자인(과,전공,학과)",141,건축,14,건설
1007,가구실내디자인과,082,디자인,8,문화.예술.디자인.방송
1008,가구ㆍ제품디자인전공,024,생산관리,2,경영.회계.사무
1008,가구ㆍ제품디자인전공,082,디자인,8,문화.예술.디자인.방송
1009,가구전공,082,디자인,8,문화.예술.디자인.방송
1010,가정관리·의류학과군,082,디자인,8,문화.예술.디자인.방송
1010,가정관리·의류학과군,192,의복,19,섬유.의복
1011,가정관리학과,131,조리,13,음식서비스
1011,가정관리학과,141,건축,14,건설
1011,가정관리학과,221,식품,22,식품.가공
1012,가정주거학과,141,건축,14,건설
1013,가족주거학전공,082,디자인,8,문화.예술.디자인.방송
1013,가족주거학전공,141,건축,14,건설
1014,감성섬유·의류마케팅계열,082,디자인,8,문화.예술.디자인.방송
1014,감성섬유·의류마케팅계열,192,의복,19,섬유.의복
1015,감성섬유패션전공,082,디자인,8,문화.예술.디자인.방송
1015,감성섬유패션전공,192,의복,19,섬유.의복
1016,감성정보계열,192,의복,19,섬유.의복
1017,건강관리학과,061,보건.의료,6,보건.의료
1017,건강관리학과,061-2,보건.의료(국제의료관광코디네이터),6,보건.의료
1017,건강관리학과,251,안전관리,25,안전관리
1018,건강기능식품학과,131,조리,13,음식서비스
1018,건강기능식품학과,181,화공,18,화학
1018,건강기능식품학과,221,식품,22,식품.가공
1019,건강다이어트(학)과,131,조리,13,음식서비스
1019,건강다이어트(학)과,221,식품,22,식품.가공
1020,건강생명정보학부,181,화공,18,화학
1020,건강생명정보학부,221,식품,22,식품.가공
1021,건강스포츠학과,251,안전관리,25,안전관리
1022,건강식품가공과,131,조리,13,음식서비스
1022,건강식품가공과,181,화공,18,화학
1022,건강식품가공과,221,식품,22,식품.가공
1023,건강식품개발과,131,조리,13,음식서비스
1023,건강식품개발과,181,화공,18,화학
1023,건강식품개발과,221,식품,22,식품.가공
1024,건강식품과학과,131,조리,13,음식서비스
1024,건강식품과학과,181,화공,18,화학
1024,건강식품과학과,221,식품,22,식품.가공
1025,건강ㆍ영양조리학과,131,조리,13,음식서비스
1025,건강ㆍ영양조리학과,221,식품,22,식품.가공
1026,건강자원개발과,241,농업,24,농림어업
1027,건물관리과,141,건축,14,건설
1028,건설·건축계열,141,건축,14,건설
1028,건설·건축계열,142,토목,14,건설
1029,건설·응용화학공학계열,141,건축,14,건설
1029,건설·응용화학공학계열,142,토목,14,건설
1029,건설·응용화학공학계열,181,화공,18,화학
1030,건설·환경·화학공학과군,141,건축,14,건설
1030,건설·환경·화학공학과군,142,토목,14,건설
1030,건설·환경·화학공학과군,181,화공,18,화학
1031,건설계열건설전공,141,건축,14,건설
1031,건설계열건설전공,142,토목,14,건설
1032,건설계열학과군,141,건축,14,건설
1032,건설계열학과군,142,토목,14,건설
1033,건설공간디자인과,082,디자인,8,문화.예술.디자인.방송
1033,건설공간디자인과,141,건축,14,건설
1033,건설공간디자인과,142,토목,14,건설
1034,"건설공학(과,과군,학부,전공,계열)",141,건축,14,건설
1034,"건설공학(과,과군,학부,전공,계열)",142,토목,14,건설
1035,건설관리계열,141,건축,14,건설
1035,건설관리계열,142,토목,14,건설
1036,건설관리시스템전공,141,건축,14,건설
1036,건설관리시스템전공,142,토목,14,건설
1037,"건설교통공학(계열,과,부)",141,건축,14,건설
1037,"건설교통공학(계열,과,부)",142,토목,14,건설
1037,"건설교통공학(계열,과,부)",144,도시.교통,14,건설
1038,건설교통과,141,건축,14,건설
1038,건설교통과,142,토목,14,건설
1038,건설교통과,144,도시.교통,14,건설
1039,건설교통정보과,082,디자인,8,문화.예술.디자인.방송
1039,건설교통정보과,141,건축,14,건설
1039,건설교통정보과,142,토목,14,건설
1039,건설교통정보과,144,도시.교통,14,건설
1040,건설기계전공,141,건축,14,건설
1040,건설기계전공,142,토목,14,건설
1040,건설기계전공,162,기계장비설비.설치,16,기계
1041,건설농업기계전공,141,건축,14,건설
1041,건설농업기계전공,142,토목,14,건설
1041,건설농업기계전공,162,기계장비설비.설치,16,기계
1042,"건설도시공학(과,부,학부)",141,건축,14,건설
1042,"건설도시공학(과,부,학부)",142,토목,14,건설
1042,"건설도시공학(과,부,학부)",144,도시.교통,14,건설
1043,건설도시환경공학부,141,건축,14,건설
1043,건설도시환경공학부,142,토목,14,건설
1043,건설도시환경공학부,144,도시.교통,14,건설
1044,건설디자인계열,141,건축,14,건설
1044,건설디자인계열,142,토목,14,건설
1045,건설리모델링과,141,건축,14,건설
1045,건설리모델링과,142,토목,14,건설
1046,건설산업과,141,건축,14,건설
1046,건설산업과,142,토목,14,건설
1047,건설산업기계전공,141,건축,14,건설
1047,건설산업기계전공,142,토목,14,건설
1047,건설산업기계전공,162,기계장비설비.설치,16,기계
1048,건설시공감리전공,141,건축,14,건설
1048,건설시공감리전공,142,토목,14,건설
1049,건설시공전공,141,건축,14,건설
1049,건설시공전공,142,토목,14,건설
1050,"건설시스템(과,공학과,공학부,공학전공,전공)",141,건축,14,건설
1050,"건설시스템(과,공학과,공학부,공학전공,전공)",142,토목,14,건설
1050,"건설시스템(과,공학과,공학부,공학전공,전공)",251,안전관리,25,안전관리
1051,"건설안전(과,전공)",141,건축,14,건설
1051,"건설안전(과,전공)",142,토목,14,건설
1051,"건설안전(과,전공)",251,안전관리,25,안전관리
1052,건설안전시스템과,141,건축,14,건설
1052,건설안전시스템과,142,토목,14,건설
1052,건설안전시스템과,251,안전관리,25,안전관리
1053,건설재료공학과,141,건축,14,건설
1053,건설재료공학과,142,토목,14,건설
1054,건설전공,141,건축,14,건설
1054,건설전공,142,토목,14,건설
1055,"건설정보(계열,공학과,공학부,과,전공)",141,건축,14,건설
1055,"건설정보(계열,공학과,공학부,과,전공)",142,토목,14,건설
1055,"건설정보(계열,공학과,공학부,과,전공)",144,도시.교통,14,건설
1055,"건설정보(계열,공학과,공학부,과,전공)",211,정보기술,21,정보통신
1056,건설정보도시건설과,141,건축,14,건설
1056,건설정보도시건설과,142,토목,14,건설
1056,건설정보도시건설과,144,도시.교통,14,건설
1056,건설정보도시건설과,211,정보기술,21,정보통신
1057,건설정보시스템전공,141,건축,14,건설
1057,건설정보시스템전공,142,토목,14,건설
1057,건설정보시스템전공,211,정보기술,21,정보통신
1058,건설조경디자인전공,141,건축,14,건설
1058,건설조경디자인전공,142,토목,14,건설
1058,건설조경디자인전공,143,조경,14,건설
1059,건설지구환경공학부,141,건축,14,건설
1059,건설지구환경공학부,142,토목,14,건설
1059,건설지구환경공학부,261,환경,26,환경.에너지
1060,건설컨설팅전공,141,건축,14,건설
1060,건설컨설팅전공,142,토목,14,건설
