statisYy,sido,genderNm,grdCd,grdNm,accumAcquCnt,yy1AcquCnt,yy2AcquCnt,yy3AcquCnt,yy4AcquCnt,yy5AcquCnt,yy6AcquCnt
2025,강원,남자,10,기술사,479,457,3,7,7,4,1
2025,강원,여자,10,기술사,9,8,0,0,0,1,0
2025,경기,남자,10,기술사,12788,12546,79,88,38,26,11
2025,경기,여자,10,기술사,373,340,10,9,8,5,1
2025,경남,남자,10,기술사,1259,1224,12,13,5,5,0
2025,경남,여자,10,기술사,37,35,0,1,1,0,0
2025,경북,남자,10,기술사,633,609,7,11,1,3,2
2025,경북,여자,10,기술사,19,17,1,1,0,0,0
2025,광주,남자,10,기술사,1008,986,9,6,6,1,0
2025,광주,여자,10,기술사,33,26,3,2,0,2,0
2025,대구,남자,10,기술사,1161,1138,5,10,3,4,1
2025,대구,여자,10,기술사,28,27,0,1,0,0,0
2025,대전,남자,10,기술사,1811,1783,9,8,7,2,2
2025,대전,여자,10,기술사,43,42,1,0,0,0,0
2025,부산,남자,10,기술사,1995,1949,14,20,4,5,3
2025,부산,여자,10,기술사,48,43,3,1,0,0,1
2025,서울,남자,10,기술사,15466,15273,64,80,21,19,9
2025,서울,여자,10,기술사,527,497,9,9,6,4,2
2025,울산,남자,10,기술사,414,404,5,2,2,1,0
2025,울산,여자,10,기술사,6,4,1,0,0,1,0
2025,인천,남자,10,기술사,1467,1430,8,20,5,3,1
2025,인천,여자,10,기술사,52,43,2,3,4,0,0
2025,전남,남자,10,기술사,560,531,9,8,5,5,2
2025,전남,여자,10,기술사,26,23,1,2,0,0,0
2025,전북,남자,10,기술사,613,588,10,9,3,2,1
2025,전북,여자,10,기술사,22,21,0,0,1,0,0
2025,제주,남자,10,기술사,187,181,2,2,2,0,0
2025,제주,여자,10,기술사,6,4,1,0,1,0,0
2025,충남,남자,10,기술사,702,678,8,11,5,0,0
2025,충남,여자,10,기술사,25,23,0,0,1,1,0
2025,충북,남자,10,기술사,578,566,3,3,2,2,2
2025,충북,여자,10,기술사,22,21,0,0,0,1,0
2025,행정구역미상,남자,10,기술사,19101,12893,1332,1081,1084,1328,1383
2025,행정구역미상,여자,10,기술사,1149,557,95,76,127,133,161
2025,강원,남자,20,기능장,960,856,20,18,32,24,10
2025,강원,여자,20,기능장,54,48,2,0,2,2,0
2025,경기,남자,20,기능장,5817,5052,163,167,206,148,81
2025,경기,여자,20,기능장,387,319,14,14,23,11,6
2025,경남,남자,20,기능장,5653,5166,96,100,122,102,67
2025,경남,여자,20,기능장,152,123,7,7,7,5,3
2025,경북,남자,20,기능장,4247,3063,282,280,294,202,126
2025,경북,여자,20,기능장,98,66,6,5,11,8,2
2025,광주,남자,20,기능장,1361,1191,40,42,33,32,23
2025,광주,여자,20,기능장,159,145,5,2,3,3,1
2025,대구,남자,20,기능장,1390,1138,49,53,53,60,37
2025,대구,여자,20,기능장,146,116,4,6,8,9,3
2025,대전,남자,20,기능장,1114,994,22,27,28,28,15
2025,대전,여자,20,기능장,81,68,2,6,4,1,0
2025,부산,남자,20,기능장,1825,1538,76,50,59,63,39
2025,부산,여자,20,기능장,148,120,5,6,8,8,1
2025,서울,남자,20,기능장,3827,3303,98,125,128,105,68
2025,서울,여자,20,기능장,366,321,7,6,12,13,7
2025,울산,남자,20,기능장,2327,1943,85,86,95,62,56
2025,울산,여자,20,기능장,43,36,2,1,1,1,2
2025,인천,남자,20,기능장,2142,1879,64,61,64,47,27
2025,인천,여자,20,기능장,127,107,8,5,2,3,2
2025,전남,남자,20,기능장,3899,2996,205,187,240,161,110
2025,전남,여자,20,기능장,95,66,5,5,9,10,0
2025,전북,남자,20,기능장,1390,1116,61,54,62,66,31
2025,전북,여자,20,기능장,102,89,3,1,7,2,0
2025,제주,남자,20,기능장,217,180,11,11,4,7,4
2025,제주,여자,20,기능장,21,19,0,0,0,1,1
2025,충남,남자,20,기능장,2592,2238,97,86,76,60,35
2025,충남,여자,20,기능장,63,48,2,4,2,5,2
2025,충북,남자,20,기능장,1048,898,38,35,33,26,18
2025,충북,여자,20,기능장,59,51,0,4,0,3,1
2025,행정구역미상,남자,20,기능장,52420,28019,4267,3825,5520,5178,5611
2025,행정구역미상,여자,20,기능장,2490,1110,199,186,315,304,376
2025,강원,남자,30,기사,30868,29629,250,290,335,221,143
2025,강원,여자,30,기사,6886,6695,36,47,35,44,29
