var,section,category,pct_iso,pct_gen,diff,h,ni,ng
A7,【A7】 외출 빈도,직장이나 학교로 평일은 매일 외출한다,25.1,58.0,-32.9,0.682,486,5027
A7,【A7】 외출 빈도,직장이나 학교로 일주일에 3~4일 외출한다,5.3,10.3,-4.9,0.185,486,5027
A7,【A7】 외출 빈도,여가생활을 위해 자주 외출한다,5.3,9.4,-4.1,0.158,486,5027
A7,【A7】 외출 빈도,사람을 만나기 위해 가끔 외출한다,8.6,11.9,-3.2,0.106,486,5027
A7,【A7】 외출 빈도,"보통은 집에 있지만, 자신의 취미생활만을 위해 외출한다",17.3,4.5,12.8,0.432,486,5027
A7,【A7】 외출 빈도,"보통은 집에 있지만, 인근 편의점 등에 외출한다",24.3,4.2,20.1,0.617,486,5027
A7,【A7】 외출 빈도,"자기 방에서 나오지만, 집 밖으로는 나가지 않는다",7.0,1.1,5.9,0.328,486,5027
A7,【A7】 외출 빈도,자기 방에서 거의 나오지 않는다,7.0,0.7,6.3,0.371,486,5027
A8,【A8】 은둔 기간,3개월 미만,7.0,19.5,-12.4,0.377,270,524
A8,【A8】 은둔 기간,3개월 이상 ~ 6개월 미만,7.8,16.2,-8.4,0.264,270,524
A8,【A8】 은둔 기간,6개월 이상 ~ 1년 미만,11.9,14.5,-2.7,0.078,270,524
A8,【A8】 은둔 기간,1년 이상 ~ 3년 미만,28.1,26.5,1.6,0.036,270,524
A8,【A8】 은둔 기간,3년 이상 ~ 5년 미만,16.7,10.7,6.0,0.175,270,524
A8,【A8】 은둔 기간,5년 이상 ~ 7년 미만,9.6,4.6,5.0,0.2,270,524
A8,【A8】 은둔 기간,7년 이상 ~ 10년 미만,7.4,2.3,5.1,0.247,270,524
A8,【A8】 은둔 기간,10년 이상,11.5,5.7,5.8,0.208,270,524
A9,【A9】 과거 은둔 생활 여부,있음,75.3,53.4,21.9,0.463,486,5027
A9,【A9】 과거 은둔 생활 여부,없음,24.7,46.6,-21.9,0.463,486,5027
A9,【A9_1】 최초 은둔 시작 시기,19세 이하,13.2,8.6,4.6,0.148,364,2629
A9,【A9_1】 최초 은둔 시작 시기,20~24세,39.0,39.7,-0.7,0.014,364,2629
A9,【A9_1】 최초 은둔 시작 시기,25~29세,31.3,34.9,-3.6,0.076,364,2629
A9,【A9_1】 최초 은둔 시작 시기,30~34세,12.4,12.5,-0.2,0.005,364,2629
A9,【A9_1】 최초 은둔 시작 시기,35~39세,4.1,4.3,-0.2,0.011,364,2629
A13_1,【A13_1】 물리적 고립▶가족들과의 대면 교류,전혀없다,14.4,1.0,13.4,0.577,486,5027
A13_1,【A13_1】 물리적 고립▶가족들과의 대면 교류,1년에한두 번,10.9,3.8,7.1,0.283,486,5027
A13_1,【A13_1】 물리적 고립▶가족들과의 대면 교류,3개월에한두 번,9.1,13.0,-3.9,0.126,486,5027
