section,category,pct_isolated,pct_general,n_iso,n_gen,chi2,p_value,cohen_h,diff_pct,significant
"【A13_4】 물리적 고립▶이외 직장, 학교, 동네에서 알고 지내는 사람들과 대면 교류(업무 상 교류 제외)",전혀없다,62.551,8.017,486,5027,1178.8982,0.0,1.2504,54.534,True
【A14】 고립 기간,3개월 미만,3.15,47.929,486,5027,361.5873,0.0,1.1725,-44.779,True
【A12_1_1 TO A12_1_4】 정서적 고립▶중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람,친구,19.959,74.995,486,5027,640.9523,0.0,1.168,-55.036,True
【C8_4_1 TO C8_4_8】 서울시 고립·은둔청년 지원 사업 도움이 되지 않은 이유,고립·은둔 상황을 벗어나는 데 실제적인 도움을 주지 못해서,60.0,11.364,486,5027,796.7992,0.0,1.0845,48.636,True
【A12_4_1 TO A12_4_4】 정서적 고립▶낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람,없음,55.967,9.429,486,5027,820.2845,0.0,1.0662,46.538,True
"【A12_2_1 TO A12_2_4】 정서적 고립▶급한 일이 있을 때, 부탁할 수 있는 사람",친구,14.403,63.338,486,5027,438.766,0.0,1.0623,-48.935,True
【A12_4_1 TO A12_4_4】 정서적 고립▶낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람,친구,16.461,65.407,486,5027,446.649,0.0,1.0485,-48.946,True
【A13_3】 물리적 고립▶친한 친구나 친한 사람과의 대면 교류,전혀없다,33.745,1.134,486,5027,1224.7536,0.0,1.0263,32.611,True
"【A12_2_1 TO A12_2_4】 정서적 고립▶급한 일이 있을 때, 부탁할 수 있는 사람",없음,39.3,3.342,486,5027,941.2314,0.0,0.9874,35.958,True
【A12_1_1 TO A12_1_4】 정서적 고립▶중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람,없음,36.831,3.242,486,5027,859.2531,0.0,0.9422,33.589,True
【A1】 지난주 노동 여부,일을 하지 않았다.,50.206,9.827,486,5027,623.1761,0.0,0.9372,40.379,True
【A1】 지난주 노동 여부,일을 하였다.,41.975,84.703,486,5027,524.3385,0.0,0.9283,-42.728,True
"【A12_3_1 TO A12_3_4】 정서적 고립▶개인적으로 돈을 빌려야 할 때, 부탁할 수 있는 사람",없음,45.679,7.738,486,5027,647.3387,0.0,0.9205,37.941,True
【A6】 본인의 주관적 경제 수준,매우 부족함,51.562,11.936,486,5027,535.3563,0.0,0.8965,39.626,True
"【A12_3_1 TO A12_3_4】 정서적 고립▶개인적으로 돈을 빌려야 할 때, 부탁할 수 있는 사람",친구,7.407,43.187,486,5027,236.3163,0.0,0.8828,-35.78,True
【A11】 지난 2주 동안 교류 횟수,0회,26.829,1.665,486,5027,746.9836,0.0,0.8302,25.164,True
【C7x3】 병원 진단 및 치료▶제공 기간,6개월 이상,70.0,30.788,486,5027,301.8717,0.0,0.8059,39.212,True
【A13_2】 물리적 고립▶친인척들과의 대면 교류,전혀없다,44.65,10.463,486,5027,444.1611,0.0,0.8048,34.187,True
"【A2_1_4】 미취업 이유▶학교, 학원, 훈련기관 등을 다니며 취업 또는 학업을 준비하고 있어서",아니오 (해당하지 않음),84.247,48.011,486,5027,231.6022,0.0,0.7943,36.236,True
"【A2_1_4】 미취업 이유▶학교, 학원, 훈련기관 등을 다니며 취업 또는 학업을 준비하고 있어서",예 (해당함),15.753,51.989,486,5027,231.6022,0.0,0.7943,-36.236,True
【A10】 지난 2주간 교류 상대,없음,24.119,1.344,486,5027,705.4505,0.0,0.7943,22.775,True
【A13_3】 물리적 고립▶친한 친구나 친한 사람과의 대면 교류,1년에한두 번,34.774,5.49,486,5027,512.1261,0.0,0.7883,29.284,True
【B11_1】 약물 복용 기간,5년 이상,51.064,16.23,486,5027,344.508,0.0,0.7628,34.834,True
