section,category,pct_isolated,pct_general,n_iso,n_gen,chi2,p_value,cohen_h,diff_pct,significant,domain,var_key,rank,weight
"【A13_4】 물리적 고립▶이외 직장, 학교, 동네에서 알고 지내는 사람들과 대면 교류(업무 상 교류 제외)",전혀없다,62.551,8.017,486,5027,1178.8982,0.0,1.2504,54.534,True,물리적_고립,A13_4,1,10.93
【A14】 고립 기간,3개월 미만,3.15,47.929,486,5027,361.5873,0.0,1.1725,-44.779,True,물리적_고립,A14,2,10.25
【A12_1_1 TO A12_1_4】 정서적 고립▶중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람,친구,19.959,74.995,486,5027,640.9523,0.0,1.168,-55.036,True,정서적_고립,A12_1_1,3,10.21
【C8_4_1 TO C8_4_8】 서울시 고립·은둔청년 지원 사업 도움이 되지 않은 이유,고립·은둔 상황을 벗어나는 데 실제적인 도움을 주지 못해서,60.0,11.364,486,5027,796.7992,0.0,1.0845,48.636,True,지원_경험,C8_4_1,4,9.48
【A12_4_1 TO A12_4_4】 정서적 고립▶낙심하거나 우울할 때 속마음을 털어놓을 수 있는 사람,없음,55.967,9.429,486,5027,820.2845,0.0,1.0662,46.538,True,정서적_고립,A12_4_1,5,9.32
【A1】 지난주 노동 여부,일을 하지 않았다.,50.206,9.827,486,5027,623.1761,0.0,0.9372,40.379,True,취업_사회이행,A1,6,8.19
【A6】 본인의 주관적 경제 수준,매우 부족함,51.562,11.936,486,5027,535.3563,0.0,0.8965,39.626,True,경제_수준,A6,7,7.84
【C7x3】 병원 진단 및 치료▶제공 기간,6개월 이상,70.0,30.788,486,5027,301.8717,0.0,0.8059,39.212,True,지원_경험,C7,8,7.04
"【A2_1_4】 미취업 이유▶학교, 학원, 훈련기관 등을 다니며 취업 또는 학업을 준비하고 있어서",아니오 (해당하지 않음),84.247,48.011,486,5027,231.6022,0.0,0.7943,36.236,True,취업_사회이행,A2_1_4,9,6.94
【B11_1】 약물 복용 기간,5년 이상,51.064,16.23,486,5027,344.508,0.0,0.7628,34.834,True,생활패턴,B11_1,10,6.67
【A18_2】 외로움 척도▶나는 도움을 청할 사람이 아무도 없다,항상그렇다,30.041,4.058,486,5027,503.2036,0.0,0.7545,25.983,True,외로움,A18_2,11,6.59
【B10】 주관적 건강상태,Bottom2(①+②),43.21,11.319,486,5027,371.4528,0.0,0.7483,31.891,True,생활패턴,B10,12,6.54
