var,axis,label,section,category,pct_iso,pct_gen,diff,h,n_iso,n_gen
A1,축2_사회이행,지난주 노동 여부,【A1】 지난주 노동 여부,일을 하였다.,42.0,84.7,-42.7,0.928,486,5027
A1,축2_사회이행,지난주 노동 여부,【A1】 지난주 노동 여부,휴가 및 일시 휴직 중이다.,7.8,5.5,2.3,0.095,486,5027
A1,축2_사회이행,지난주 노동 여부,【A1】 지난주 노동 여부,일을 하지 않았다.,50.2,9.8,40.4,0.937,486,5027
A2,축2_사회이행,취업 의향,【A2】 지난 4주간 취업 의향,"직장을 구해보았고, 지난주에 직장이 주어졌다면 일을 시작할 수 있었다.",10.2,16.6,-6.4,0.189,206,452
A2,축2_사회이행,취업 의향,【A2】 지난 4주간 취업 의향,"직장을 구해보았지만, 지난주에 직장이 주어졌더라도 일을 시작할 수 없었다.",13.6,10.0,3.6,0.113,206,452
A2,축2_사회이행,취업 의향,【A2】 지난 4주간 취업 의향,직장을 구해보지 않았다.,76.2,73.5,2.8,0.064,206,452
A2,축2_사회이행,취업 의향,【A2_1_1】 미취업 이유▶일할 욕구를 느끼지 못해서,예 (해당함),50.7,27.3,23.4,0.484,146,377
A2,축2_사회이행,취업 의향,【A2_1_1】 미취업 이유▶일할 욕구를 느끼지 못해서,아니오 (해당하지 않음),49.3,72.7,-23.4,0.484,146,377
A2,축2_사회이행,취업 의향,【A2_1_2】 미취업 이유▶시간적 여유를 즐기기 위해서,예 (해당함),39.7,43.0,-3.2,0.066,146,377
A2,축2_사회이행,취업 의향,【A2_1_2】 미취업 이유▶시간적 여유를 즐기기 위해서,아니오 (해당하지 않음),60.3,57.0,3.2,0.066,146,377
A2,축2_사회이행,취업 의향,【A2_1_3】 미취업 이유▶질병이나 장애 때문에,예 (해당함),21.9,13.8,8.1,0.213,146,377
A2,축2_사회이행,취업 의향,【A2_1_3】 미취업 이유▶질병이나 장애 때문에,아니오 (해당하지 않음),78.1,86.2,-8.1,0.213,146,377
A2,축2_사회이행,취업 의향,"【A2_1_4】 미취업 이유▶학교, 학원, 훈련기관 등을 다니며 취업 또는 학업을 준비하고 있어서",예 (해당함),15.8,52.0,-36.2,0.794,146,377
A2,축2_사회이행,취업 의향,"【A2_1_4】 미취업 이유▶학교, 학원, 훈련기관 등을 다니며 취업 또는 학업을 준비하고 있어서",아니오 (해당하지 않음),84.2,48.0,36.2,0.794,146,377
A2,축2_사회이행,취업 의향,"【A2_1_5】 미취업 이유▶학교, 학원, 훈련기관 등을 다니지는 않고, 혼자 취업 또는 학업을 준비하고 있어서",예 (해당함),17.1,34.2,-17.1,0.396,146,377
A2,축2_사회이행,취업 의향,"【A2_1_5】 미취업 이유▶학교, 학원, 훈련기관 등을 다니지는 않고, 혼자 취업 또는 학업을 준비하고 있어서",아니오 (해당하지 않음),82.9,65.8,17.1,0.396,146,377
A2,축2_사회이행,취업 의향,【A2_1_6】 미취업 이유▶계속 취업에 실패해서,예 (해당함),30.8,17.8,13.1,0.307,146,377
A2,축2_사회이행,취업 의향,【A2_1_6】 미취업 이유▶계속 취업에 실패해서,아니오 (해당하지 않음),69.2,82.2,-13.1,0.307,146,377
A2,축2_사회이행,취업 의향,【A2_1_7】 미취업 이유▶인간관계에 대한 부담감 때문에,예 (해당함),47.9,19.6,28.3,0.612,146,377
A2,축2_사회이행,취업 의향,【A2_1_7】 미취업 이유▶인간관계에 대한 부담감 때문에,아니오 (해당하지 않음),52.1,80.4,-28.3,0.612,146,377
A2,축2_사회이행,취업 의향,"【A2_1_8】 미취업 이유▶심리적 또는 정신적인 어려움(우울, 불안, 공황, 대인기피, 조현병 등) 때문에",예 (해당함),40.4,16.7,23.7,0.536,146,377
A2,축2_사회이행,취업 의향,"【A2_1_8】 미취업 이유▶심리적 또는 정신적인 어려움(우울, 불안, 공황, 대인기피, 조현병 등) 때문에",아니오 (해당하지 않음),59.6,83.3,-23.7,0.536,146,377
A2,축2_사회이행,취업 의향,【A2_1_9】 미취업 이유▶기타,예 (해당함),100.0,100.0,0.0,0.0,2,21
A3,축2_사회이행,비활동 기간,【A3】 일 또는 학업활동을 전혀 하지 않고 생활해온 기간,3개월 미만,9.3,30.5,-21.2,0.549,107,95
A3,축2_사회이행,비활동 기간,【A3】 일 또는 학업활동을 전혀 하지 않고 생활해온 기간,3개월 이상 ~ 6개월 미만,7.5,16.8,-9.4,0.292,107,95
A3,축2_사회이행,비활동 기간,【A3】 일 또는 학업활동을 전혀 하지 않고 생활해온 기간,6개월 이상 ~ 1년 미만,15.0,12.6,2.3,0.067,107,95
A3,축2_사회이행,비활동 기간,【A3】 일 또는 학업활동을 전혀 하지 않고 생활해온 기간,1년 이상 ~ 3년 미만,20.6,17.9,2.7,0.068,107,95
A3,축2_사회이행,비활동 기간,【A3】 일 또는 학업활동을 전혀 하지 않고 생활해온 기간,3년 이상 ~ 5년 미만,13.1,6.3,6.8,0.232,107,95
A3,축2_사회이행,비활동 기간,【A3】 일 또는 학업활동을 전혀 하지 않고 생활해온 기간,5년 이상 ~ 7년 미만,7.5,8.4,-0.9,0.035,107,95
A3,축2_사회이행,비활동 기간,【A3】 일 또는 학업활동을 전혀 하지 않고 생활해온 기간,7년 이상 ~ 10년 미만,5.6,3.2,2.4,0.121,107,95
A3,축2_사회이행,비활동 기간,【A3】 일 또는 학업활동을 전혀 하지 않고 생활해온 기간,10년 이상,21.5,4.2,17.3,0.551,107,95
A7,축4_은둔정도,외출 빈도,【A7】 외출 빈도,직장이나 학교로 평일은 매일 외출한다,25.1,58.0,-32.9,0.682,486,5027
A7,축4_은둔정도,외출 빈도,【A7】 외출 빈도,직장이나 학교로 일주일에 3~4일 외출한다,5.3,10.3,-4.9,0.185,486,5027
A7,축4_은둔정도,외출 빈도,【A7】 외출 빈도,여가생활을 위해 자주 외출한다,5.3,9.4,-4.1,0.158,486,5027
A7,축4_은둔정도,외출 빈도,【A7】 외출 빈도,사람을 만나기 위해 가끔 외출한다,8.6,11.9,-3.2,0.106,486,5027
A7,축4_은둔정도,외출 빈도,【A7】 외출 빈도,"보통은 집에 있지만, 자신의 취미생활만을 위해 외출한다",17.3,4.5,12.8,0.432,486,5027
A7,축4_은둔정도,외출 빈도,【A7】 외출 빈도,"보통은 집에 있지만, 인근 편의점 등에 외출한다",24.3,4.2,20.1,0.617,486,5027
A7,축4_은둔정도,외출 빈도,【A7】 외출 빈도,"자기 방에서 나오지만, 집 밖으로는 나가지 않는다",7.0,1.1,5.9,0.328,486,5027
A7,축4_은둔정도,외출 빈도,【A7】 외출 빈도,자기 방에서 거의 나오지 않는다,7.0,0.7,6.3,0.371,486,5027
A8,축4_은둔정도,은둔 기간,【A8】 은둔 기간,3개월 미만,7.0,19.5,-12.4,0.377,270,524
A8,축4_은둔정도,은둔 기간,【A8】 은둔 기간,3개월 이상 ~ 6개월 미만,7.8,16.2,-8.4,0.264,270,524
A8,축4_은둔정도,은둔 기간,【A8】 은둔 기간,6개월 이상 ~ 1년 미만,11.9,14.5,-2.7,0.078,270,524
A8,축4_은둔정도,은둔 기간,【A8】 은둔 기간,1년 이상 ~ 3년 미만,28.1,26.5,1.6,0.036,270,524
A8,축4_은둔정도,은둔 기간,【A8】 은둔 기간,3년 이상 ~ 5년 미만,16.7,10.7,6.0,0.175,270,524
A8,축4_은둔정도,은둔 기간,【A8】 은둔 기간,5년 이상 ~ 7년 미만,9.6,4.6,5.0,0.2,270,524
A8,축4_은둔정도,은둔 기간,【A8】 은둔 기간,7년 이상 ~ 10년 미만,7.4,2.3,5.1,0.247,270,524
A8,축4_은둔정도,은둔 기간,【A8】 은둔 기간,10년 이상,11.5,5.7,5.8,0.208,270,524
A10,축1_관계형성,교류 상대(2주),【A10】 지난 2주간 교류 상대,없음,24.1,1.3,22.8,0.794,369,4985
A10,축1_관계형성,교류 상대(2주),【A10】 지난 2주간 교류 상대,1명,22.0,7.8,14.1,0.409,369,4985
A10,축1_관계형성,교류 상대(2주),【A10】 지난 2주간 교류 상대,2명,16.5,10.5,6.1,0.179,369,4985
A10,축1_관계형성,교류 상대(2주),【A10】 지난 2주간 교류 상대,3명,12.7,11.5,1.2,0.038,369,4985
A10,축1_관계형성,교류 상대(2주),【A10】 지난 2주간 교류 상대,4~5명,14.4,22.2,-7.9,0.205,369,4985
A10,축1_관계형성,교류 상대(2주),【A10】 지난 2주간 교류 상대,6~9명,5.4,12.4,-7.0,0.25,369,4985
A10,축1_관계형성,교류 상대(2주),【A10】 지난 2주간 교류 상대,10~19명,3.3,22.6,-19.4,0.629,369,4985
A10,축1_관계형성,교류 상대(2주),【A10】 지난 2주간 교류 상대,20명 이상,1.6,11.6,-10.0,0.439,369,4985
A11,축1_관계형성,교류 횟수(2주),【A11】 지난 2주 동안 교류 횟수,0회,26.8,1.7,25.2,0.83,369,4985
A11,축1_관계형성,교류 횟수(2주),【A11】 지난 2주 동안 교류 횟수,1회,22.5,8.5,14.0,0.396,369,4985
A11,축1_관계형성,교류 횟수(2주),【A11】 지난 2주 동안 교류 횟수,2회,15.2,15.1,0.0,0.001,369,4985
A11,축1_관계형성,교류 횟수(2주),【A11】 지난 2주 동안 교류 횟수,3회,10.6,13.4,-2.9,0.088,369,4985
A11,축1_관계형성,교류 횟수(2주),【A11】 지난 2주 동안 교류 횟수,4~5회,8.4,24.2,-15.8,0.441,369,4985
A11,축1_관계형성,교류 횟수(2주),【A11】 지난 2주 동안 교류 횟수,6~10회,9.5,23.1,-13.6,0.377,369,4985
A11,축1_관계형성,교류 횟수(2주),【A11】 지난 2주 동안 교류 횟수,11회 이상,7.0,13.9,-6.9,0.227,369,4985
A1,축2_사회이행,지난주 노동 여부,【A12_1_1 TO A12_1_4】 정서적 고립▶중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람,가족/친척,52.5,77.2,-24.7,0.525,486,5027
A1,축2_사회이행,지난주 노동 여부,【A12_1_1 TO A12_1_4】 정서적 고립▶중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람,친구,20.0,75.0,-55.0,1.168,486,5027
A1,축2_사회이행,지난주 노동 여부,【A12_1_1 TO A12_1_4】 정서적 고립▶중요하거나 어려운 일이 있을 때 조언을 구할 수 있는 사람,"그 외 타인 (이웃, 직장동료 등)",8.4,27.4,-19.0,0.513,486,5027
